SMK;item;LDa;LEn;DDa;DEn;LEnPlural;Item URL;Commons category (Object related);Commons category (Artist related);Commons category;Comment
Akvarel;Q18761202;akvarel;watercolor painting;;flat surface artistically covered with watercolor paint;watercolor paintings;https://wikidata.org/wiki/Q18761202;Watercolor paintings in Statens Museum for Kunst;Paintings by xxxx (name) in Statens Museum for Kunst;;
Akvatinte;Q473236;akvatinte;aquatint;;etching technique;aquatints;https://wikidata.org/wiki/Q473236;Aquatinta in Statens Museum for Kunst;Prints by xxxx (name) in Statens Museum for Kunst;Aquatinta;
Alter;Q101687;alter;altar;"forhøjning, ildsted eller bord, der indgår i religiøse ritualer";structure upon which offerings such as sacrifices are made for religious purposes;altars;https://wikidata.org/wiki/Q101687;;;;
Altertavle (maleri);Q15711026;altertavle;altarpiece;udsmykning over alteret;"artwork (painting, sculpture or relief) behind the altar";altarpieces;https://wikidata.org/wiki/Q15711026;;;;
Altertavle (skulptur);Q15711026;altertavle;altarpiece;udsmykning over alteret;"artwork (painting, sculpture or relief) behind the altar";altarpieces;https://wikidata.org/wiki/Q15711026;;;;
Andet;;;;;;;https://wikidata.org/wiki/;;;;
Arbejde på papir;Q111609766;;work on paper;;work of art in which paper is the support;works on paper;https://wikidata.org/wiki/Q111609766;;;;Not used. Choose a specific technique.
Arkitekturrelateret skulptur;Q3476515;;architectural sculpture;;type of sculpture;architectural sculptures;https://wikidata.org/wiki/Q3476515;Architectural sculptures in Statens Museum for Kunst;Sculptures by xxxx (name) in Statens Museum for Kunst;Architectural sculptures;
Artist Book;Q1062404;Artists' books;artist's book;;work of art realized in the form of a book;artist's books;https://wikidata.org/wiki/Q1062404;;;;
Askekiste;Q960844;Urne;funerary urn;;container for cremated remains;funerary urns;https://wikidata.org/wiki/Q960844;;;;
Assemblage;Q262343;assemblage;assemblage;Kunstform og teknik;art form and technique;assemblages;https://wikidata.org/wiki/Q262343;;;;
Ætsning;Q186986;radering;etching technique;grafisk proces;intaglio printmaking technique;etching techniques;https://wikidata.org/wiki/Q186986;Etchings in Statens Museum for Kunst;Prints by xxxx (name) in Statens Museum for Kunst;;
Audio-visuel;Q4819927;;audiovisual artwork;;kinetic abstract art and music or sound set in relation to each other;audiovisual artworks;https://wikidata.org/wiki/Q4819927;;;;
Autografi;Q109313750;;transfer lithography;;Lithography technique transferring image from one surface to a stone or plate for printing;transfer lithographies;https://wikidata.org/wiki/Q109313750;Prints in Statens Museum for Kunst;Transfer lithographs by xxxx (name) in Statens Museum for Kunst;;
Baldakin;Q335571;Baldakin;baldachin;;portable or permanent light canopy made of various materials;baldachins;https://wikidata.org/wiki/Q335571;Architecture in Statens Museum for Kunst;Baldachins by xxxx (name) in Statens Museum for Kunst;;
Billedtæppe;Q184296;gobelin;tapestry;;"textile artwork, traditionally woven on a vertical loom using tapestry weaving techniques, sometimes embellished with embroidery or paint";tapestries;https://wikidata.org/wiki/Q184296;;;;
Blandform;Q1902763;;mixed media;;artistic technique that uses more than one medium;mixed media;https://wikidata.org/wiki/Q1902763;;;;
Blyant;Q85621166;;pencil drawing;;"drawings created by using pencils containing lead, graphite, or another material";pencil drawings;https://wikidata.org/wiki/Q85621166;Drawings in Statens Museum for Kunst;Drawings by xxxx (name) in Statens Museum for Kunst;;
Bogbind;Q1125338;binding;binding;;the structures and, if present, the covers used to hold together and protect the leaves of a bookblock and which allow them to be opened at the fore-edge;bindings;https://wikidata.org/wiki/Q1593694;Bindings in Statens Museum for Kunst;Bindings by xxxx (name) in Statens Museum for Kunst;;
Boghåndværk;Q28455113;;book art;;field of art that involves the creation of works that use or refer to structural and conceptual properties of books and works of art produced in this field;book arts;https://wikidata.org/wiki/Q28455113;;;;
Bogtryk;Q11034;bogtryk;printing;;process for reproducing text and images using a master form or template;printings;https://wikidata.org/wiki/Q11034;Letterpress prints in Statens Museum for Kunst;Prints in Statens Museum for Kunst by xxxx (name) in Statens Museum for Kunst;;
Buste;Q17489160;buste;bust;skulptur af en persons hoved og skuldre;"sculpture of a person's head, neck, and a variable portion of chest and shoulders";busts;https://wikidata.org/wiki/Q17489160;Busts in Statens Museum for Kunst;Sculptures by xxxx (name) in Statens Museum for Kunst;Busts;
Cassone;Q945313;;cassone;;Italian style chest typically commissioned for a newly married couple;cassones;https://wikidata.org/wiki/Q945313;;;;
Ciborium;Q346621;;ciborium;;canopy or covering that covers the altar in a church;ciboriums;https://wikidata.org/wiki/Q346621;Architecture in Statens Museum for Kunst;Ciboriums by xxxx (name) in Statens Museum for Kunst;;
Clairobscurtræsnit;Q1027974;clairobscurtræsnit;chiaroscuro woodcut;metoden til produktion af clairobscurtræsnittryk;process of producing chiaroscuro woodcut prints;chiaroscuro woodcuts;https://wikidata.org/wiki/Q1027974;Woodcuts in Statens Museum for Kunst;Prints by xxxx (name) in Statens Museum for Kunst;;
Collage;Q22669857;;collage;;artwork created with collage technique;collages;https://wikidata.org/wiki/Q22669857;;;;
Collage-maleri;Q22669857;;collage;;artwork created with collage technique;collages;https://wikidata.org/wiki/Q22669857;;;;
Computerprint;Q860372;Digital kunst;digital art;;collective term for art that is generated digitally with the computer;digital artworks;https://wikidata.org/wiki/Q860372;;;;
Crayonstik;Q352385;Crayonmanér;crayon manner;;etched stipple technique;crayon manners;https://wikidata.org/wiki/Q352385;Engravings in Statens Museum for Kunst;Prints by xxxx (name) in Statens Museum for Kunst;;
Décollage;Q1270454;;décollage;;art genre;décollages;https://wikidata.org/wiki/Q1270454;;;;
Digital kunst/Ny mediekunst;Q860372;Digital kunst;digital art;;collective term for art that is generated digitally with the computer;digital artworks;https://wikidata.org/wiki/Q860372;;;;
Digitaltryk;Q1224898;;digital printing;;method of printing;digital printings;https://wikidata.org/wiki/Q1224898;;;;
Diptykon;Q475476;Diptykon;diptych;;two-part polyptych;diptychs;https://wikidata.org/wiki/Q475476;Diptychs in Statens Museum for Kunst;Diptychs by xxxx (name) in Statens Museum for Kunst;;
Diskos;Q1228822;Diskus;discus;;sports equipment;discuses;https://wikidata.org/wiki/Q1228822;Sports equipment in Statens Museum for Kunst;Discuses by xxxx (name) in Statens Museum for Kunst;;
Døbefont;Q208820;døbefont;baptismal font;kumme til brug ved barnedåb i kirken;large basins or other vessels set in or on the ground or fixed on a pedestal and intended for use in the baptismal rite;baptismal fonts;https://wikidata.org/wiki/Q208820;Christian art in Statens Museum for Kunst;Baptismal fonts by xxxx (name) in Statens Museum for Kunst;;
Dørstykke (maleri);Q588951;Dørstykke;overdoor;;"relief, panel or painting above a doorway";overdoors;https://wikidata.org/wiki/Q588951;;;;
Dørstykke (skulptur);Q588951;Dørstykke;overdoor;;"relief, panel or painting above a doorway";overdoors;https://wikidata.org/wiki/Q588951;;;;
Dybtryk;Q1665351;;intaglio;;sculptural work created by carving or incising a sunken design;intaglios;https://wikidata.org/wiki/Q1665351;Intaglios in Statens Museum for Kunst;Prints by by xxxx (name) in Statens Museum for Kunst;Intaglios;
Film;Q11424;film;film;kunstform med bevægende billeder;"sequence of images that give the impression of movement, stored on film stock";films;https://wikidata.org/wiki/Q11424;;;;
Film-/video-/lyd-/computerværk;Q1386571;;multi-media art;;"Art that employs electricity, movement and light.";multi-media artworks;https://wikidata.org/wiki/Q1386571;;;;
Fotografi;Q125191;fotografi;photograph;"billede skabt af lyset, der falder på en lysfølsom overflade";image created by light falling on a light-sensitive surface;photographs;https://wikidata.org/wiki/Q125191;Photographs in Statens Museum for Kunst;Photographs by xxxx (name) in Statens Museum for Kunst;;
Fotografi (kunst);Q1066582;fotokunst;fine-art photography;"billede skabt af lyset, der falder på en lysfølsom overflade";photography genre, created in accordance with the vision of the artist as photographer and with subjective intent art photography;photographs;https://wikidata.org/wiki/Q125191;Photographs in Statens Museum for Kunst;Fine-art photographs by xxxx (name) in Statens Museum for Kunst;;
Fotokopi;Q8011558;;photocopy;;photographic reproduction;photocopies;https://wikidata.org/wiki/Q8011558;;;;
Fotoserigrafi;Q22569957;;screen print;;artwork produced via a screen-printing process;screen prints;https://wikidata.org/wiki/Q22569957;Screenprints in Statens Museum for Kunst;Prints by by xxxx (name) in Statens Museum for Kunst;;
Frise;Q183272;Frise;frieze;;wide central section part of an entablature;friezes;https://wikidata.org/wiki/Q183272;Friezes in Statens Museum for Kunst;Friezes by xxxx (name) in Statens Museum for Kunst;;
Friskulptur;Q2520013;;sculpture in the round;;freestanding sculpture;sculptures in the round;https://wikidata.org/wiki/Q2520013;Sculptures in Statens Museum for Kunst;Sculptures in the round by xxxx (name) in Statens Museum for Kunst;;
Glas;Q5567091;;glass art;;work of art which is substantially or wholly made of glass;glass artworks;https://wikidata.org/wiki/Q5567091;;;;
Gouache;Q21281546;;gouache painting;;type of painting;gouache paintings;https://wikidata.org/wiki/Q21281546;Gouache paintings in Statens Museum for Kunst;Paintings by xxxx (name) in Statens Museum for Kunst;;
Grafik;Q1027879;grafik;graphics;;visual presentation on some surface;graphics;https://wikidata.org/wiki/Q1027879;Visual presentations in Statens Museum for Kunst;Graphics by xxxx (name) in Statens Museum for Kunst;;
Gravmæle;Q381885;gravmæle;tomb;;burial place;tombs;https://wikidata.org/wiki/Q381885;Monuments in Statens Museum for Kunst;Tombs by xxxx (name) in Statens Museum for Kunst;;
Halvfigur;Q18809572;;half-length portrait;;"format of portrait, showing the body from the waist up";half-length portraits;https://wikidata.org/wiki/Q18809572;;;;
Happening;Q108874;Happening;happening;;type of performance artwork;happenings;https://wikidata.org/wiki/Q108874;;;;
Helio- og fotogravure;Q23641696;;heliogravure print;;print produced with heliogravure technique;heliogravure prints;https://wikidata.org/wiki/Q23641696;;;;
Herme;Q376693;herma;herma;"fritstående støtte, der foroven ender i et hoved";"type of sculpture with a head and often a torso above a plain lower section, often with male genitals";hermas;https://wikidata.org/wiki/Q376693;Sculptures in Statens Museum for Kunst;Sculptures by xxxx (name) in Statens Museum for Kunst;;
Højtryk;Q99890706;;relief print;;print made using a process of relief printing;relief prints;https://wikidata.org/wiki/Q99890706;Prints in Statens Museum for Kunst;Prints by xxxx (name) in Statens Museum for Kunst;;
Hoved;Q23640;hoved;head;;del af en organisme anterior anatomical region in many animals, which tends to contain sensory and nervous organs and orifices for ingestion and breathing;heads;https://wikidata.org/wiki/Q23640;Heads in Statens Museum for Kunst;Sculptures by xxxx (name) in Statens Museum for Kunst;;
Ikon;Q132137;ikon;icon;religiøs kunst i det østlige kristendom;"religious work of art, generally a panel painting, in Eastern Christianity";icons;https://wikidata.org/wiki/Q132137;Religious art in Statens Museum for Kunst;Icons by xxxx (name) in Statens Museum for Kunst;;
Installation;Q20437094;kunstinstallation;installation artwork;;"three-dimensional work of art, usually from various materials and larger than a sculpture. For the art genre, use Q212431.";installation artworks;https://wikidata.org/wiki/Q20437094;;;;
Kamé;Q28512;Kamé;cameo;"smykkesten med dekoration udført i ophøjet relief til forskel fra intaglio, der har fordybet relief";small relief carving;cameos;https://wikidata.org/wiki/Q28512;Carvings in Statens Museum for Kunst;Cameos by xxxx (name) in Statens Museum for Kunst;;
Kapitæl;Q193893;kapitæl;capital;del af søjle;upper part of a column (architecture);capitals;https://wikidata.org/wiki/Q193893;Architecture in Statens Museum for Kunst;Capitals by xxxx (name) in Statens Museum for Kunst;;
Keramik;Q13464614;;ceramics;;"art objects such as figures, tiles, and tableware made from clay and other raw materials by the process of pottery";ceramics;https://wikidata.org/wiki/Q13464614;Ceramics in Statens Museum for Kunst;Ceramics by xxxx (name) in Statens Museum for Kunst;;
Klichétryk;Q291202;Kliche (tryk);stereotype;;solid plate resulting from the application of a stereotyping technique;stereotypes;https://wikidata.org/wiki/Q291202;;;;
Kobberstik;Q18887969;kopperstik;copper engraving print;;print from an engraving on copper intended as art or illustrations in books;copper engraving prints;https://wikidata.org/wiki/Q18887969;Engravings in Statens Museum for Kunst;Prints by xxxx (name) in Statens Museum for Kunst;;
