inventarnummer;wikidata_id
298;Q20537069
299;Q20539107
DEP1;Q20355026
DEP10;Q48451214
DEP104;Q20355180
DEP107;Q20355833
DEP108;Q48451938
DEP11;Q20536120
DEP12;Q20273592
DEP125;Q20401085
DEP13;Q20275944
DEP130;Q20540889
DEP14;Q20274890
DEP141;Q20271570
DEP142;Q20398957
DEP143;Q20545140
DEP144;Q20278606
DEP15;Q3937402
DEP186;Q20268273
DEP187;Q20440958
DEP188;Q20267811
DEP2;Q20467192
DEP249;Q20278615
DEP285;Q20268730
DEP289;Q20355494
DEP297;Q20202429
DEP3;Q20278610
DEP303;Q20354104
DEP304;Q20355117
DEP307;Q20354605
DEP343;Q20354536
DEP353;Q20440712
DEP354;Q20267860
DEP355;Q20380416
DEP356;Q20268412
DEP357;Q20544084
DEP358;Q20536626
DEP359;Q20539677
DEP360;Q20267487
DEP361;Q20355582
DEP362;Q20355106
DEP363;Q20381016
DEP364;Q20441035
DEP365;Q20496287
DEP366;Q20355197
DEP367;Q20539292
DEP370;Q20276964
DEP378;Q20441159
DEP379;Q20354518
DEP380;Q20468961
DEP381;Q20440366
DEP382;Q20394912
DEP383;Q20440306
DEP384;Q20268683
DEP386;Q20477356
DEP387;Q20441089
DEP389;Q20268008
DEP390;Q20400940
DEP4;Q20475852
DEP44;Q5002061
DEP47;Q51093842
DEP481;Q20355279
DEP5;Q20433719
DEP520;Q20440531
DEP527;Q20540191
DEP528;Q20354534
DEP529;Q20383307
DEP530;Q20354943
DEP532;Q20536550
DEP533;Q20392066
DEP535;Q20392256
DEP536;Q20549448
DEP537;Q20469733
DEP538;Q20491264
DEP539;Q20355080
DEP540;Q20354821
DEP541;Q20385270
DEP543;Q20417224
DEP544;Q20268384
DEP548;Q20540144
DEP549;Q20392080
DEP550;Q20276992
DEP552;Q20278246
DEP553;Q20492475
DEP557;Q20355483
DEP558;Q20355124
DEP559;Q20355304
DEP560;Q20268038
DEP565;Q20269361
DEP566;Q20276716
DEP567;Q20354546
DEP568;Q20536745
DEP569;Q20276066
DEP581;Q20355201
DEP582;Q20355177
DEP583;Q20268826
DEP584;Q20422063
DEP585;Q20267960
DEP586;Q20267297
DEP587;Q20268307
DEP588;Q20355314
DEP589;Q20540560
DEP590;Q20354722
DEP591;Q20470259
DEP594;Q20528199
DEP595;Q20421573
DEP596;Q20541218
DEP597;Q20530122
DEP598;Q20538955
DEP599;Q20268441
DEP6;Q20413760
DEP600;Q20538851
DEP601;Q20537788
DEP602;Q20392107
DEP608;Q20354090
DEP609;Q20422192
DEP611;Q20275251
DEP612;Q20547523
DEP613;Q20275615
DEP614;Q20276027
DEP615;Q20440910
DEP618;Q20380410
DEP636;Q20477485
DEP637;Q20539574
DEP638;Q20497581
DEP639;Q20424736
DEP640;Q20426165
DEP641;Q20469511
DEP642;Q20469177
DEP643;Q20538910
DEP644;Q20355171
