artist;nationality;author;title;description;depicted_people;date;medium;dimensions;institution;department;place_of_discovery;object_history;exhibition_history;credit_line;inscriptions;notes;accession_number;place_of_creation;source;permission;other_versions;references;depicted_place;categories;wikidata;image_height;image_width;imageurl;public_domain;has_image
None Mesteren for Palazzo Venezia Madonna;italiensk;;Skt. Victor af Siena;Det synes vanskeligt at bestemme helgenens navn, S. Victor, S. Galgano, S. Ansanu oa. er bragt i forslag. Marianne Lonjon foreslår i brev 10 febr. 1984, at helgenen er Sankt Victor af Siena og mener at triptykket har været bestemt til den hellige Victors kapel i Siena.;;1348-1352;Tempera på træ. Guldgrund;;{{Institution:Statens Museum for Kunst, Copenhagen}};Samling og Forskning (KMS);;- William Young Ottleys - Bromleys Samling - Lord Ashburtons Samling - Grev Avoglis Samling, - H.Heilbuths Samling (udstillet med denne i Kunstmuseet Efteråret 1920) - Ehrich Galleries, New York. - Købt med pendanten (KMS3624) for 30.000kr af Dansk Kunstmuseumsforening Placeringshistorie: - 1966, maj: Kunstindustrimuseet - 1969, 28. aug.: Retur Sølvgade;{{Temporary Exhibition |name=100 Mesterværker |institution= |place= Sølvgade |begin=1996-06-23T00:00:00.000Z |end=1996-08-04T00:00:00.000Z}};;;Altertavle (maleri);KMS3625;;{{SMK online|KMS3625}};{{Licensed-PD-Art|PD-old-auto-1923|Cc-zero|deathyear=1358}}<br/>{{Statens Museum for Kunst cooperation project}};;Italiensk kunst og kunstindustri, Erik Zahle, 6, afb. 4, 78f, 11782<br/>Pitture italiane del rinascimento: catalogo dei principali artisti e delle loro opere con un indice dei luoghi, Bernhard (Bernard) Berenson, 309, 13538<br/>Fire italienske billeder i dansk eje, Erik Moltesen, 86ff, 15129<br/>En samling af ældre malerkunst: udstillet i museet i efteraaret 1920, Karl Madsen, p. 112 (afb.), 114, 15158<br/>Siena and the Virgin: art and politics in a late medieval city state, Diana Norman, p. 68, 73, 74, 79, 80 og 84, samt note 12, p. 122. Afb. p. 73 (Forsøg på rekonstruktion af panelets oprindelige placering som alterfløj, samt oplysninger om det ikonografiske program.), 2000-033<br/>Simone Martini e l'Annunciazione degli Uffizi, Alessandro Cecchi, pp. 38ff, ill. fig. 5 p. 43 + fig. 8 p. 45 (rekonstruktion af panelets placering i oprindelig altertavle m.v.)., 2002-071<br/>A program completed: the identification of the San Vittorio altarpiece, Kavin M. Frederick, p.56-63, ill. (vedr. forslag til evt. komposition for et middelfelt mellem de to helgener, de tilsammen udgjorde altertavle i S.Vittorio-kapellet i Katedralen i Siena) (artiklen er en fortsættelse af den i K.M.Friedrick, A Program of Alterpieces for the Siena Cathedral. KMS' maleri nævnes ikke i denne sidste artikel, men altercyklen præsenteret - særtryk i biblioteket.), 2002-492<br/>Lippo Memmi's Helgen og Helgeninde, Erik Zahle, p.282f (om billedets tidligere historie og ældre litteratur), 2002-514<br/>SMK highlights: Statens Museum for Kunst, Sven Bjerkhof, omt. og afb. p. 18, 2005-071<br/>Italian paintings and sculpture in Denmark, Harald Olsen, p.22, p.75, afb. planche II, a (Tilskrevet Palazo Venezia Madonna-mesteren), 28349<br/>Catalogue of a collection of paintings, Karl Madsen, nr. 2, 6834<br/>Statens Museum for Kunst: 1827-1952, Villads Villadsen, afb. (s/h) p.222, 98-419<br/>The development of the Italian schools of painting, Raimond van Marle, vol. II (1924): 292ff, tilskrevet Barna da Siena, C 3075:1-19 it<br/>Maletekniske undersøgelser af to helgenbilleder fra Skt. Victor-altertavlen i Sienas domkirke, Troels Filtenborg, omt. p. 83ff, ill. p. 84, samt flere detaljefotografier, <br/>Tuscan Primitives in London Sales, 1801-1837, Dorothy Lygon, p. 113, 114, 115, <br/>Iconography of the Saints in Tuscan Painting, George Kaftal, fig. 1137: S. Vittore de Siena, <br/>100 mesterværker, Eva Friis, p.30, afb. p.31, k1996-233;;;;;;https://api.smk.dk/api/v1/download/W3siaW1nX3VybCI6Imh0dHBzOi8vaWlwLnNtay5kay9paWlmL2pwMi9LTVMzNjI1LnRpZi5yZWNvbnN0cnVjdGVkLnRpZi5qcDIvZnVsbC9mdWxsLzAvbmF0aXZlLmpwZyIsInB1YmxpY19kb21haW4iOnRydWUsIm9iamVjdF9udW1iZXIiOiJLTVMzNjI1IiwibnVtIjoiIn1d/KMS3625.jpg;True;True
Ambrosius Bosschaerts d.Æ.;hollandsk;;Blomsterbuket i en stenniche;;;1618;Olie på kobber;;{{Institution:Statens Museum for Kunst, Copenhagen}};Samling og Forskning (KMS);;- Muligvis i Frederiksborgs Inventar 1705 - 1791: tilgået samlingen 1791 fra Hirschholm Slot, hvor det i det mindste siden 1741 var blevet anvendt som dørstykke Placeringshistorie: - 1969, 8.sep.: Sølvgade;{{Temporary Exhibition |name=Holländsk guldålder |institution= |place= Nationalmuseum, Stockholm |begin=2005-09-22T00:00:00.000Z |end=2006-01-08T00:00:00.000Z}}<br/>{{Temporary Exhibition |name=The Glory of the Golden Age - Painting, Sculpture and Decorative Art |institution= |place= Rijksmuseum, Amsterdam |begin=2000-04-14T00:00:00.000Z |end=2000-09-16T00:00:00.000Z}}<br/>{{Temporary Exhibition |name=Blomster fra sans og samling |institution= |place= Designmuseum Danmark |begin=1990-01-01T00:00:00.000Z |end=1990-12-31T00:00:00.000Z}}<br/>{{Temporary Exhibition |name=Blumenpracht - Niederländische Stillleben des 17. und 18. Jahrhunderts |institution= |place= Staatliches Museum Schwerin |begin=2009-04-22T00:00:00.000Z |end=2009-08-30T00:00:00.000Z}}<br/>{{Temporary Exhibition |name=Blomster og verdenssyn |institution= |place= Sølvgade |begin=2013-03-21T00:00:00.000Z |end=2013-10-19T00:00:00.000Z}}<br/>{{Temporary Exhibition |name=100 Mesterværker |institution= |place= Sølvgade |begin=1996-06-23T00:00:00.000Z |end=1996-08-04T00:00:00.000Z}}<br/>{{Temporary Exhibition |name=Flowers and World Views |institution= |place= Schloss Gottorf |begin=2014-05-23T00:00:00.000Z |end=2014-10-24T00:00:00.000Z}}<br/>{{Temporary Exhibition |name=Christian IV og Europa : den 19. Europarådsudstilling |institution= |place= Sølvgade |begin=1988-03-30T00:00:00.000Z |end=1988-09-25T00:00:00.000Z}}<br/>{{Temporary Exhibition |name=Konkylien og mennesket |institution= |place= Designmuseum Danmark |begin=1983-11-25T00:00:00.000Z |end=1984-01-15T00:00:00.000Z}};;AB [monogram] 1618, , ;Maleri;KMSsp211;;{{SMK online|KMSsp211}};{{Licensed-PD-Art|PD-old-auto-1923|Cc-zero|deathyear=1621}}<br/>{{Statens Museum for Kunst cooperation project}};;Dutch still-life painting: in the seventeenth century, Ingvar Bergström, p. 61 (geng.), 65856<br/>The collection of Dutch and Flemish still-life paintings bequeathed by Daisy Linda Ward: catalogue of the collection of paintings, Fred G. Meijer, cat. 17, p. 179 note 2., 2003-318<br/>SMK Highlights, Sven Bjerkhof, omt. og afb. p. 30, <br/>Les peintres flamands de fleurs au XVII siècle, M. L. Hairs, p. 196, 22614<br/>Autumn exhibition of dutch and flemish masters, unknown, p. 196, 22614<br/>Hvad blev der portrætterne på Hirschholm Slot, Povl Eller, p. 15f, note 4 p. 84, 37008<br/>Konkylien og mennesket: udstilling i Kunstindustri museet, København, 25. november 1983 - 15. januar 1984, unknown, kat nr. 2, side 85, 50610<br/>The Bosschaert dynasty: painters of flowers and fruit, L. J. Bol, plate 21 kat. nr. 33, 65799<br/>Christian IV og Europa: den 19. Europarådsudstilling, Danmark 1988, Steffen Heiberg, Olaf Koester, Christian IV og billedkunstens Europa, p. 311 kat.nr. 1008, 88-222<br/>Dutch still-life painting from the 16th to the 18th centuries in Danish collections, Poul Gammelbo, no. 26 (afb.), 91-136<br/>Clara Peeters: 1594-ca. 1640, Pamela Hibbs Decoteau, p. 84, 92-609<br/>Masters of light: Dutch painters in Utrecht during the Golden Age, Joaneath Spicer, omt. p.45 afb. p.46 fig.24 (s/h), p.358, p. 359, 98-052<br/>GARTen: vom Blumenbild zum digitalen Garten, unknown, ill. p. 58, C 43540<br/>Holländsk guldålder: Rembrandt, fran Hals och deras samtida, Görel Cavalli-Björkman, Afb. p. 100, omt. p. 94, D 31440<br/>Geschiedenis van de Provincie Utrecht: vol. I: van 1528 tot 1780, C. Dekker, p. 378 og afb. (farve), <br/>At sige det med blomster, Bettina von Meyerburg, p. 42 fig. 36 (farve), <br/>100 mesterværker, Eva Friis, Olaf Koesters artikel "Ambrosius Bosschaert" p. 60, afb. p. 61 (f), k1996-233<br/>The glory of the Golden Age: Dutch art of the 17th century, Epco Runia, afb. p. 70 (f), p. 71 kat. 40, k2000-195<br/>Blomster og verdenssyn, Sven Bjerkhof, Afb. p. 10 + 36-37, omt. p. 11 + 34-38, C 55132<br/>Holländskt stillebenmåleri under 1600-talet, Ingvar Bergström, afb. p. 67, 17847;;;;;;https://api.smk.dk/api/v1/download/W3siaW1nX3VybCI6Imh0dHBzOi8vaWlwLnNtay5kay9paWlmL2pwMi9rbXNzcDIxMS50aWYuanAyL2Z1bGwvZnVsbC8wL25hdGl2ZS5qcGciLCJwdWJsaWNfZG9tYWluIjp0cnVlLCJvYmplY3RfbnVtYmVyIjoiS01Tc3AyMTEiLCJudW0iOiIifV0=/KMSsp211.jpg;True;True
L.A. Ring;dansk;;I Høst;;;1885;olie på lærred;;{{Institution:Statens Museum for Kunst, Copenhagen}};Samling og Forskning (KMS);;Gave 1955 til den danske stat fra direktør O. P. Christensen. Overdraget til Statsministeriet.;{{Temporary Exhibition |name=KUNSTNERBRØDRE L.A. Ring og H.A. Brendekilde |institution= |place= Randers Kunstmuseum |begin=2018-11-23T00:00:00.000Z |end=2019-03-30T00:00:00.000Z}}<br/>{{Temporary Exhibition |name=L.A. Ring - på kanten af verden |institution= |place= Sølvgade |begin=2006-09-02T00:00:00.000Z |end=2007-01-07T00:00:00.000Z}}<br/>{{Temporary Exhibition |name=L.A. Ring - på kanten af verden |institution= |place= Randers Kunstmuseum |begin=2007-01-25T00:00:00.000Z |end=2007-04-28T00:00:00.000Z}}<br/>{{Temporary Exhibition |name=Nordic Highlights |institution= |place= Sølvgade |begin=2017-04-07T00:00:00.000Z |end=2017-08-12T00:00:00.000Z}}<br/>{{Temporary Exhibition |name=On the Edge of the World: Masterworks by Laurits Andersen Ring from SMK—the National Gallery of Denmark |institution= |place= National Nordic Museum, Seattle |begin=2019-09-14T00:00:00.000Z |end=2020-01-19T00:00:00.000Z}}<br/>{{Temporary Exhibition |name=On the Edge of the World: Masterworks by Laurits Andersen Ring from SMK—the National Gallery of Denmark |institution= |place= Bruce Museum of Greenwich, Connecticut |begin=2020-02-01T00:00:00.000Z |end=2020-08-09T00:00:00.000Z}};;L.A. Ring. 85, , ;Maleri;DEP289;;{{SMK online|DEP289}};{{Licensed-PD-Art|PD-old-auto-1923|Cc-zero|deathyear=1933}}<br/>{{Statens Museum for Kunst cooperation project}};;Lysets malere: nordisk malerkunst fra klassicisme til modernisme, Bengt-Arne Person, omt. p. 101, 2000-393<br/>Nordiske stemninger: Harald Sohlberg (1869-1935), L.A. Ring (1854-1933), Tone Sinding Steinsvik, omt. pp. 12-13, 21, 2004-073<br/>SMK highlights: Statens Museum for Kunst, Sven Bjerkhof, omt. og afb. p. 103, 2005-071<br/>L.A. Ring - på kanten af verden, Peter Nørgaard=nørgård Larsen, Kat. 6-5, omt. pp. 26, 157, 180 og 222, afb. pp. 27, 157 og 181., 2006-212<br/>Fortegnelse over malerier og studier af L. A. Ring i aarene 1880-1910, H. Chr. Christensen, kat. 50., 2591<br/>Tranches de vie: le naturalisme en Europe 1875-1915, unknown, omt. pp. 226-228, ill. p. 227, 96-877<br/>Det moderne gennembrud 1870-1890, unknown, heri: Peter Michael Hornung og Kasper Monrad, "Det moderne gennembruds malere", pp. 6, 20f, afb. p. 19 (fyldig billedtekst)., B 4288<br/>For hundrede år siden: Danmark og Tyskland 1864-1900: modstandere og naboer: Statens Museum for Kunst, København, Aarhus Kunstmuseum, Århus, Kunsthalle zu Kiel der Christian-Albrechts-Universität, Kiel, Orangerie Schloss Charlottenburg, Berlin, unknown, omt. og ill., fig. 53, C 14094:1-2<br/>Den bevingede knokkelmand: L.A. Ring imellem realisme og symbolisme, Finn Terman Frederiksen, fig. 14, ill. p. 57, omt. p. 56-61, C 38432<br/>Échappées nordiques: les maîtres scandinaves et finlandais en France, 1870-1914, Diederick Bakhuÿs, afb. fig. 3, C 43948<br/>Kunst og krop: betragtninger over kroppen som billedkunstnerisk element, Johs. Stræde, omt. p. 100-104, afb. p. 101, fig. 50, D 28597<br/>13 år med Allis, Lisbeth Bonde, ill. p. 214, D 33194<br/>L.A. Ring - 150 år: motiver fra Sydsjælland, Gertrud Oelsner, omt. pp. 7, 46, ka2004-084<br/>175 års jubilæum - Kunstnerforeningen af 18. november, Tove Thage, afb. p. 97, <br/>Kunstnerbrødre: L. A. Ring og H. A. Brendekilde, Jeppesen, Lise, afb. p. 27, 72, <br/>Grundtvig rundt: En guide, Korsgaard, Ove, afb. p. 43, ;;;;;;https://api.smk.dk/api/v1/download/W3siaW1nX3VybCI6Imh0dHBzOi8vaWlwLnNtay5kay9paWlmL2pwMi9ERVAyODkudGlmLnJlY29uc3RydWN0ZWQudGlmLmpwMi9mdWxsL2Z1bGwvMC9uYXRpdmUuanBnIiwicHVibGljX2RvbWFpbiI6dHJ1ZSwib2JqZWN0X251bWJlciI6IkRFUDI4OSIsIm51bSI6IiJ9XQ==/DEP289.jpg;True;True
Giovanni Lanfranco;italiensk;;Jomfru Maria og barnet med skt. Antoni og Jakob den ældre;;;1600-1700;Rødkridt;{{Size|unit=mm|width=207|height=329}};{{Institution:Statens Museum for Kunst, Copenhagen}};Samling og Forskning (KKS);;;;;Lower right, in pen and black ink, in a late 17th or early 18th-century hand: “Lanfranco”, engelsk, ;Tegning;KKSgb7087;;{{SMK online|KKSgb7087}};{{Licensed-PD-Art|PD-old-auto-1923|Cc-zero|deathyear=1647}}<br/>{{Statens Museum for Kunst cooperation project}};;Italian Drawings in the Department of Prints and Drawings,: Statens Museum for Kunst, Roman Drawings before 1800, Ursula Verena Fischer Pace, nr. 158, ;;;;;;https://api.smk.dk/api/v1/download/W3siaW1nX3VybCI6Imh0dHBzOi8vaWlwLnNtay5kay9paWlmL2pwMi9ra3NnYjcwODcudGlmLmpwMi9mdWxsL2Z1bGwvMC9uYXRpdmUuanBnIiwicHVibGljX2RvbWFpbiI6dHJ1ZSwib2JqZWN0X251bWJlciI6IktLU2diNzA4NyIsIm51bSI6IiJ9XQ==/KKSgb7087.jpg;True;True
None Ubekendt;dansk;;Menneskes Syndefald;;;1750-1769;Træsnit;{{Size|unit=mm|width=180|height=292}};{{Institution:Statens Museum for Kunst, Copenhagen}};Samling og Forskning (KKS);;;;;"Menneskets syndefald. / I mose Bogs 3 C.1 til 6 b. / O hvor behageligt er der, [...] / Kjøbenhavn, trykt og findes tilkøbs hos E. L. Borup, boende i store Helliggeift Strædet", eng, ;Træsnit;KKS13568;;{{SMK online|KKS13568}};{{Licensed-PD-Art|PD-old-auto-1923|Cc-zero|deathyear=1797}}<br/>{{Statens Museum for Kunst cooperation project}};;Det folkelige danske træsnit i etbladstryk 1565-1884, V. E. Clausen, nr. 3, 51884<br/>Det folkelige danske træsnit i etbladstryk 1650-1870, V.E. Clausen, nr. 3, 28823;;;;;;https://api.smk.dk/api/v1/download/W3siaW1nX3VybCI6Imh0dHBzOi8vaWlwLnNtay5kay9paWlmL2pwMi9ra3MxMzU2OC50aWYucmVjb25zdHJ1Y3RlZC50aWYuanAyL2Z1bGwvZnVsbC8wL25hdGl2ZS5qcGciLCJwdWJsaWNfZG9tYWluIjp0cnVlLCJvYmplY3RfbnVtYmVyIjoiS0tTMTM1NjgiLCJudW0iOiIifV0=/KKS13568.jpg;True;True
Christen Købke;dansk;;Lille søstudie med en ø i den venezianske lagune;;;1838;Olie på pap;{{Size|unit=mm|width=12|height=6}};{{Institution:Statens Museum for Kunst, Copenhagen}};Samling og Forskning (KMS);;;{{Temporary Exhibition |name=VIVA VENEZIA! Kunstens Venedigbilleder 1750-2013 |institution= |place= Gl. Holtegaard |begin=2014-08-21T00:00:00.000Z |end=2014-12-13T00:00:00.000Z}}<br/>{{Temporary Exhibition |name=Christen Købke 1810 - 1848 |institution= |place= Sølvgade |begin=1996-02-09T00:00:00.000Z |end=1996-05-26T00:00:00.000Z}};;;Maleri;KMS7020;;{{SMK online|KMS7020}};{{Licensed-PD-Art|PD-old-auto-1923|Cc-zero|deathyear=1848}}<br/>{{Statens Museum for Kunst cooperation project}};;Venedig syndromet: Storhed og fald i kunstens Venedig, Louise Birch Sørensen, afb. p. 27, omt. p. 26, ;;;;;;https://api.smk.dk/api/v1/thumbnail/7df9dca9-7aa7-4eec-813e-26e7106c559a.jpg;True;True
Niels Skovgaard;dansk;;Dragtstudier. Megara;;;1896;olie på lærred;{{Size|unit=mm|width=20|height=51}};{{Institution:Statens Museum for Kunst, Copenhagen}};Samling og Forskning (KMS);;;{{Temporary Exhibition |name=Niels Skovgaard. Maler, Billedhugger, Kunsthåndværker, Illustrator |institution= |place= Fuglsang Kunstmuseum |begin=2019-01-24T00:00:00.000Z |end=2019-05-04T00:00:00.000Z}}<br/>{{Temporary Exhibition |name=Niels Skovgaard. Maler, Billedhugger, Kunsthåndværker, Illustrator |institution= |place= Skovgaard Museet i Viborg |begin=2018-05-31T00:00:00.000Z |end=2018-01-05T00:00:00.000Z}};;;Maleri;KMS4231;;{{SMK online|KMS4231}};{{Licensed-PD-Art|PD-old-auto-1923|Cc-zero|deathyear=1938}}<br/>{{Statens Museum for Kunst cooperation project}};;;;;;;;https://api.smk.dk/api/v1/download/W3siaW1nX3VybCI6Imh0dHBzOi8vaWlwLnNtay5kay9paWlmL2pwMi9LTVM0MjMxLnRpZi5yZWNvbnN0cnVjdGVkLnRpZi5qcDIvZnVsbC9mdWxsLzAvbmF0aXZlLmpwZyIsInB1YmxpY19kb21haW4iOnRydWUsIm9iamVjdF9udW1iZXIiOiJLTVM0MjMxIiwibnVtIjoiIn1d/KMS4231.jpg;True;True
C.W. Eckersberg;dansk;;Udsigt gennem en dør til løbende figurer;;;1845;olie på lærred;{{Size|unit=mm|width=38.9|height=42.8}};{{Institution:Statens Museum for Kunst, Copenhagen}};Samling og Forskning (KMS);;Kunstnerens dødsboauktion 1854 nr. 99. .<br/>Ludvig Heckschers samling, dennes auktion, nov. 1913 nr. 18 (ingen paginering) solgt for 912<br/>ABR auktion 138, 1961 nr. 69, afbildet side 19, solgt for 3500<br/>Bruun Rasmussen auktion 650, 1998 nr, 190, afb. s. 139, solgt for 1.180.000;{{Temporary Exhibition |name=Dansk guldålder / The Danish Golden Age |institution= |place= Nationalmuseum, Stockholm |begin=2019-02-27T00:00:00.000Z |end=2019-07-20T00:00:00.000Z}}<br/>{{Temporary Exhibition |name="Danish Golden Age" Petit Palais |institution= |place= Petit Palais |begin=2020-04-27T00:00:00.000Z |end=2020-08-25T00:00:00.000Z}}<br/>{{Temporary Exhibition |name=Dansk Guldalder: Verdenskunst mellem to katastrofer |institution= |place= Sølvgade |begin=2019-08-23T00:00:00.000Z |end=2019-12-07T00:00:00.000Z}};;, eng, ;Maleri;KMS8847;;{{SMK online|KMS8847}};{{Licensed-PD-Art|PD-old-auto-1923|Cc-zero|deathyear=1853}}<br/>{{Statens Museum for Kunst cooperation project}};;Maleren Eckersbergs Levned og Værker, Philip Weilbach, omt. s. 126 & 236, 605<br/>Christoffer Wilhelm Eckersberg, 1783-1853, Philip Conisbee, omt. s. 150 & afb. s. 150, 2003-471<br/>Fra Odysseus' borg til Langebro i København, Kasper Monrad, omt. s. 98 & afb. s. 99, <br/>C.W. Eckersberg: dansk malerkunsts fader, Peter Michael Hornung, omt. s. 364 & afb. s. 365, 2005-383<br/>Eckersberg, Kasper Monrad, afb. 185, ;;;;;;https://api.smk.dk/api/v1/download/W3siaW1nX3VybCI6Imh0dHBzOi8vaWlwLnNtay5kay9paWlmL2pwMi9LTVM4ODQ3X2Nyb3AudGlmLmpwMi9mdWxsL2Z1bGwvMC9uYXRpdmUuanBnIiwicHVibGljX2RvbWFpbiI6dHJ1ZSwib2JqZWN0X251bWJlciI6IktNUzg4NDciLCJudW0iOiIifV0=/KMS8847.jpg;True;True
Domenico Piola;italiensk;;En havgud og to putti;;;1650-1699;Sortkridt, brunt blæk og brun lavering;{{Size|unit=mm|width=285|height=210}};{{Institution:Statens Museum for Kunst, Copenhagen}};Samling og Forskning (KKS);;;;;Inscribed, lower left, in pen and brown ink, possibly in an 18th century hand: “G: 11”&semi lower right, in pen and brown ink, in an 18th or early 19th century hand: "Le. jordans", engelsk, ;Tegning;KKSgb5548;;{{SMK online|KKSgb5548}};{{Licensed-PD-Art|PD-old-auto-1923|Cc-zero|deathyear=1703}}<br/>{{Statens Museum for Kunst cooperation project}};;Genoese drawings, Mary Newcome Schleier, nr. 59, C 27883;;;;;;https://api.smk.dk/api/v1/download/W3siaW1nX3VybCI6Imh0dHBzOi8vaWlwLnNtay5kay9paWlmL2pwMi9LS1NnYjU1NDhfdmVyc28udGlmLmpwMi9mdWxsL2Z1bGwvMC9uYXRpdmUuanBnIiwicHVibGljX2RvbWFpbiI6dHJ1ZSwib2JqZWN0X251bWJlciI6IktLU2diNTU0OCIsIm51bSI6IiJ9XQ==/KKSgb5548.jpg;True;True
Erling Eckersberg;dansk;;Albert Küchler;;;1861;Radering. Med tilføjelser af tekst i hånden;{{Size|unit=mm|width=194|height=222}};{{Institution:Statens Museum for Kunst, Copenhagen}};Samling og Forskning (KKS);;;;;J. Roed pinx. et aq.f.f., dansk, <br/>E. C. W. Eckersberg term., eng, <br/>Albert Kühler / (Frab Pieto)n / 1861, eng, ;Radering;KKS2621;;{{SMK online|KKS2621}};{{Licensed-PD-Art|PD-old-auto-1923|Cc-zero|deathyear=1889}}<br/>{{Statens Museum for Kunst cooperation project}};;Danske portrætter i kobberstik, litografi og træsnit: en beskrivende fortegnelse, P.B.C. Westergaard, nr. 6767, C 3997:1-2 da;;;;;;https://api.smk.dk/api/v1/download/W3siaW1nX3VybCI6Imh0dHBzOi8vaWlwLnNtay5kay9paWlmL2pwMi9ra3MyNjIxLnRpZi5yZWNvbnN0cnVjdGVkLnRpZi5qcDIvZnVsbC9mdWxsLzAvbmF0aXZlLmpwZyIsInB1YmxpY19kb21haW4iOnRydWUsIm9iamVjdF9udW1iZXIiOiJLS1MyNjIxIiwibnVtIjoiIn1d/KKS2621.jpg;True;True
