artist;nationality
Antonio da  Trento;italiensk
Hans Sebald Beham;tysk
Ugo da Carpi;italiensk
Jacob Binck;tysk
Markus Lynge;grønlandsk
None Aron fra Kangeq;grønlandsk
None Ubekendt;None
Augustin Hirschvogel;tysk
Mathis Zündt;tysk
Willem van  Swanenburgh;nederlandsk
Jan Saenredam;hollandsk
Georg Rab;None
Tobias Stimmer;schweizisk
Justus Amman;schweizisk
None Monogrammist CD;None
None Monogrammist CB;tysk
Franz Isaac Brun;tysk
Nikolaus Wilborn;tysk
Hendrick Goltzius;hollandsk
Albrecht Altdorfer;tysk
Jan Harmensz. Muller;hollandsk
Johannes Deriancourt;None
None Ubekendt;nederlandsk
Crispijn van de  Passe (I);nederlandsk
Ubekendt None;None
Jacques de Gheyn II;flamsk
Barthel Beham;tysk
None Monogrammist WA;nederlandsk
Andrea Michieli (Vicentino);italiensk
Hans Rudolf Manuel Deutsch;schweizisk
Hieronymus Nützel;tysk
Virgil Solis d.Æ.;tysk
Monogrammist F.W.D;None
None Monogrammist PR;tysk
None Ubekendt ;italiensk
None Ubekendt;italiensk
Albrecht Dürer;tysk
Giovanni da Brescia;italiensk
Nicoletto da Modena None;None
Domenico Campagnola;italiensk
Benedetto Montagna;None
Ubekendt Ubekendt;italiensk
Cristofano Robetta;None
None Monogrammist F;None
None Monogrammist HL;None
Nicolaus Andrea;tysk
Frans Floris;hollandsk
Lucantonio degli Uberti;italiensk
Giulio  Campagnola;italiensk
Giovanni Battista Palumba;None
Andrea Mantegna;italiensk
Cornelis Saftleven;hollandsk
A. Wolf;tysk
Dietrich Langko;tysk
None Ubekendt;tysk
Krzysztof Lubieniecki;polsk
Marcus de Bye;nederlandsk
Herman van Swanevelt;hollandsk
A. Burg;tysk
Daniel Hopfer;tysk
Heinrich Aldegrever;tysk
Lambert Hopfer;tysk
Al Masson;None
Tomas Lagermand Lundme;None
Christian Bockstorffer;schweizisk
Gerard I Hoet;hollandsk
Hieronymus Hopfer;tysk
Anthonie Waterloo;hollandsk
Heltoft, Ulrik;None
Nistrup, Ursula;None
Gillis van Breen;nederlandsk
Ragna Braase;dansk
Peeter van der Borcht;flamsk
Carl Jensen;dansk
Cornelis Dusart;hollandsk
None Leonardo da Vinci;italiensk
Andrea Alovigi Ingegno;italiensk
Giovanni Lanfranco;italiensk
Hieronimus  Lapis;italiensk
Bartolommeo Letterini;italiensk
None Guercino;italiensk
Filippo Lauri;italiensk
Benedetto Luti;italiensk
Elisabeth Jerichau Baumann;dansk
Lauritz Tuxen;dansk
Albert Küchler;dansk
John Kørner;dansk
Troels Wörsel;dansk
Ursula Reuter Christiansen;dansk
Ubekendt Ubekendt;None
Godfried Schalcken;hollandsk
Nicolaes van  Haeften;hollandsk
Jan van Huchtenburg;hollandsk
None Ubekendt ;None
Conrad Goltzius;None
Jacob Matham;hollandsk
François Boitard;fransk
Pietro Francesco Cittadini;italiensk
Jacopo (il Giovane) Palma;italiensk
Ubaldo  Gandolfi;italiensk
Ferdinand Bol;hollandsk
Pieter Jansz Quast;hollandsk
Pia Arke;None
Danh Vo;dansk
Lene Adler Petersen;dansk
Erik Werenskiold;norsk
Abraham  Hondius;hollandsk
Jan van  Ossenbeeck;nederlandsk
Andreas Albrectsen;dansk
Peter Cramer;dansk
Jacques Callot;fransk
Peter  Gottlandt;tysk
Hans Sebald Lautensack;tysk
Cornelis Anthonisz Theunissen;nederlandsk
Pieter Serwouters;flamsk
Hans Brosamer;tysk
Hans Baldung Grien;tysk
