artist;nationality;author;title;description;depicted_people;date;medium;dimensions;institution;department;place_of_discovery;object_history;exhibition_history;credit_line;inscriptions;notes;accession_number;place_of_creation;source;permission;other_versions;references;depicted_place;categories;wikidata;image_height;image_width;imageurl;object_type;location;public_domain;has_image
{{Creator:Elisabeth Jerichau Baumann}};;;{{title|1. studie til billedet med kvinderne ved Fontainen i A.|lang=da}};;;1845;Blyant, stedvist forhøjet med hvidt;{{Size|unit=mm|width=240|height=334}};{{Institution:Statens Museum for Kunst, Copenhagen}};;;* {{da|Ny Carlsberg Glyptotek&semi deponeret i KKS 1943}}<br/>* {{ProvenanceEvent|date=1943-12-31|type=acquisition|newowner=[[Statens Museum for Kunst]]}};;;;;DEP971;;* {{SMK API|DEP971}}<br/>* {{SMK Open|DEP971}}<br/>* [https://api.smk.dk/api/v1/download/W3siaW1nX3VybCI6Imh0dHBzOi8vaWlwLnNtay5kay9paWlmL2pwMi9ERVA5NzEudGlmLmpwMi9mdWxsL2Z1bGwvMC9uYXRpdmUuanBnIiwicHVibGljX2RvbWFpbiI6dHJ1ZSwib2JqZWN0X251bWJlciI6IkRFUDk3MSIsIm51bSI6IiJ9XQ==/DEP971.jpg image];{{Licensed-PD-Art|PD-old|Cc-zero}}<br/>	{{Statens Museum for Kunst collaboration project}};;;;[[Category:Drawings in Statens Museum for Kunst]];;;;https://api.smk.dk/api/v1/download/W3siaW1nX3VybCI6Imh0dHBzOi8vaWlwLnNtay5kay9paWlmL2pwMi9ERVA5NzEudGlmLmpwMi9mdWxsL2Z1bGwvMC9uYXRpdmUuanBnIiwicHVibGljX2RvbWFpbiI6dHJ1ZSwib2JqZWN0X251bWJlciI6IkRFUDk3MSIsIm51bSI6IiJ9XQ==/DEP971.jpgDrawing;True;True
{{Creator:Marie Henriques}};;;{{title|Maleren Tom Petersen, siddende i en veranda|lang=da}};;;1919;Akvarel over kulskitse på ribbet papir, gulnet;{{Size|unit=mm|width=551|height=753}};{{Institution:Statens Museum for Kunst, Copenhagen}};;;* {{da|Gave 1944 fra kunstnerens bo}}<br/>* {{ProvenanceEvent|date=1944-12-31|type=acquisition|newowner=[[Statens Museum for Kunst]]}};;;;;KKS15973;;* {{SMK API|KKS15973}}<br/>* {{SMK Open|KKS15973}}<br/>* [https://api.smk.dk/api/v1/download/W3siaW1nX3VybCI6Imh0dHBzOi8vaWlwLnNtay5kay9paWlmL2pwMi9ra3MxNTk3My50aWYuanAyL2Z1bGwvZnVsbC8wL25hdGl2ZS5qcGciLCJwdWJsaWNfZG9tYWluIjp0cnVlLCJvYmplY3RfbnVtYmVyIjoiS0tTMTU5NzMiLCJudW0iOiIifV0=/KKS15973.jpg image];{{Licensed-PD-Art|PD-old|Cc-zero}}<br/>	{{Statens Museum for Kunst collaboration project}};;;;[[Category:Water colours in Statens Museum for Kunst]];;;;https://api.smk.dk/api/v1/download/W3siaW1nX3VybCI6Imh0dHBzOi8vaWlwLnNtay5kay9paWlmL2pwMi9ra3MxNTk3My50aWYuanAyL2Z1bGwvZnVsbC8wL25hdGl2ZS5qcGciLCJwdWJsaWNfZG9tYWluIjp0cnVlLCJvYmplY3RfbnVtYmVyIjoiS0tTMTU5NzMiLCJudW0iOiIifV0=/KKS15973.jpgWater colour;True;True
{{Creator:Julie Eckersberg}};;;{{title|En skopudser fra paris|lang=da}};;;1883;Pen, pensel, sort blæk og vandfarve;{{Size|unit=mm|width=140|height=175}};{{Institution:Statens Museum for Kunst, Copenhagen}};;;* {{da|Gave fra Det Kgl. Bibliotek, 1945}}<br/>* {{ProvenanceEvent|date=1944-12-31|type=acquisition|newowner=[[Statens Museum for Kunst]]}};;;;;KKS16544;;* {{SMK API|KKS16544}}<br/>* {{SMK Open|KKS16544}}<br/>* [https://api.smk.dk/api/v1/download/W3siaW1nX3VybCI6Imh0dHBzOi8vaWlwLnNtay5kay9paWlmL2pwMi9ra3MxNjU0NC50aWYuanAyL2Z1bGwvZnVsbC8wL25hdGl2ZS5qcGciLCJwdWJsaWNfZG9tYWluIjp0cnVlLCJvYmplY3RfbnVtYmVyIjoiS0tTMTY1NDQiLCJudW0iOiIifV0=/KKS16544.jpg image];{{Licensed-PD-Art|PD-old|Cc-zero}}<br/>	{{Statens Museum for Kunst collaboration project}};;;;[[Category:Drawings in Statens Museum for Kunst]];;;;https://api.smk.dk/api/v1/download/W3siaW1nX3VybCI6Imh0dHBzOi8vaWlwLnNtay5kay9paWlmL2pwMi9ra3MxNjU0NC50aWYuanAyL2Z1bGwvZnVsbC8wL25hdGl2ZS5qcGciLCJwdWJsaWNfZG9tYWluIjp0cnVlLCJvYmplY3RfbnVtYmVyIjoiS0tTMTY1NDQiLCJudW0iOiIifV0=/KKS16544.jpgDrawing;True;True
;;;{{title|En såret dansk kriger|lang=da}};;;1865;olie på lærred;{{Size|unit=mm|width=142.5|height=107}};{{Institution:Statens Museum for Kunst, Copenhagen}};;;* {{ProvenanceEvent|date=1867-12-31|type=acquisition|newowner=[[Statens Museum for Kunst]]}};* {{Temporary Exhibition |name=Et rum med udsigt |institution= |place= Rønnebæksholm |begin=2013-08-03 |end=2013-10-06}}<br/>* {{Temporary Exhibition |name=Dansk Guldalder: Verdenskunst mellem to katastrofer |institution= |place= Sølvgade |begin=2019-08-23 |end=2019-12-07}}<br/>* {{Temporary Exhibition |name=Dansk guldålder / The Danish Golden Age |institution= |place= Nationalmuseum, Stockholm |begin=2019-02-27 |end=2019-07-20}}<br/>* {{Temporary Exhibition |name=Weltklasse. Die Düsseldorfer Malerschule 1819-1918 |institution= |place= Stiftung museum kunst palast, Düsseldorf |begin=2011-09-23 |end=2012-01-22}}<br/>* {{Temporary Exhibition |name="Danish Golden Age" Petit Palais |institution= |place= Petit Palais |begin=2020-04-27 |end=2020-08-25}}<br/>* {{Temporary Exhibition |name=Elisabeth Jerichau-Baumann |institution= |place= ARoS Aarhus Kunstmuseum |begin=2021-05-08 |end=2021-09-12}};;{{inscription |1=Elisabeth Jerichau 1865.}};;KMS852;;* {{SMK API|KMS852}}<br/>* {{SMK Open|KMS852}}<br/>* [https://api.smk.dk/api/v1/download/W3siaW1nX3VybCI6Imh0dHBzOi8vaWlwLnNtay5kay9paWlmL2pwMi9LTVNLTVM4NTIudGlmLnJlY29uc3RydWN0ZWQudGlmLmpwMi9mdWxsL2Z1bGwvMC9uYXRpdmUuanBnIiwicHVibGljX2RvbWFpbiI6dHJ1ZSwib2JqZWN0X251bWJlciI6IktNUzg1MiIsIm51bSI6IiJ9XQ==/KMS852.jpg image];{{Licensed-PD-Art|PD-old|Cc-zero}}<br/>	{{Statens Museum for Kunst collaboration project}};;*{{citation|title=Kunstakademiet 1754-2004: særtryk|author=unknown|others=heri: Peter Nørgaard Larsen, "Med ryggen mod fremtiden", bd. I, p. 146, ill. p. 146. Sammen med 'Samson hos filisterne' nærmede værket sig med hensyn til format og iøjenfaldende fortælling franske normer|id=2004-372|year=2004}}<br/>*{{citation|title=Et rum med udsigt : En fejring af kvindelige kunstnere i Danmark gennem 200 år|author=Eva Skibsted|others=afb. p. 25, omt. p. 26f|year=2013}}<br/>*{{citation|title=Le siècle d'Or de La Peinture Danoise: Une Collection Francaise|author=Jean-Francois Colau|others=afb. p. 23 (fig. 5), omt. p. 22ff|year=2013}}<br/>*{{citation|title=Die Düsseldorfer Malerschule: und ihre internationale Ausstrahlung|author=Bettina Baumgärtel|others=kat. 150 (bd. II)|date=date unspecfied}}<br/>*{{citation|title=Breve fra London: Elisabeth Jerichau Baumann og den victorianske kunstverden|author=Elisabeth Jerichau Baumann|others=afb. p. 190|date=date unspecfied}}<br/>*{{citation|title=The Power of the In-Between: Intermediality as a Tool for Aesthetic Analysis and Critical Reflection|author=Sonya Peterson|others=Fig. 6, p. 225|year=2018}};;[[Category:Paintings in Statens Museum for Kunst]];Q20475469;;;https://api.smk.dk/api/v1/download/W3siaW1nX3VybCI6Imh0dHBzOi8vaWlwLnNtay5kay9paWlmL2pwMi9LTVNLTVM4NTIudGlmLnJlY29uc3RydWN0ZWQudGlmLmpwMi9mdWxsL2Z1bGwvMC9uYXRpdmUuanBnIiwicHVibGljX2RvbWFpbiI6dHJ1ZSwib2JqZWN0X251bWJlciI6IktNUzg1MiIsIm51bSI6IiJ9XQ==/KMS852.jpgPainting;True;True
;;;{{title|Billedhuggeren Jens Adolf Jerichau, kunstnerens ægtefælle|lang=da}};* {{da|Bag kunstneren ses en lermodel til hans gennembrudsværk, Herkules og Hebe fra 1845 (originalmodel, gips på Glyptoteket).}};;1846;olie på lærred;{{Size|unit=mm|width=113|height=160.5}};{{Institution:Statens Museum for Kunst, Copenhagen}};;;* {{ProvenanceEvent|date=1876-12-31|type=acquisition|newowner=[[Statens Museum for Kunst]]}};* {{Temporary Exhibition |name="Danish Golden Age" Petit Palais |institution= |place= Petit Palais |begin=2020-04-27 |end=2020-08-25}}<br/>* {{Temporary Exhibition |name=Dansk guldålder / The Danish Golden Age |institution= |place= Nationalmuseum, Stockholm |begin=2019-02-27 |end=2019-07-20}}<br/>* {{Temporary Exhibition |name=Dansk Guldalder: Verdenskunst mellem to katastrofer |institution= |place= Sølvgade |begin=2019-08-23 |end=2019-12-07}}<br/>* {{Temporary Exhibition |name=Elisabeth Jerichau-Baumann |institution= |place= ARoS Aarhus Kunstmuseum |begin=2021-05-08 |end=2021-09-12}};;{{inscription |1=Elisabeth Jerichau Baumann Hamburg 1846}};;KMS1093;;* {{SMK API|KMS1093}}<br/>* {{SMK Open|KMS1093}}<br/>* [https://api.smk.dk/api/v1/download/W3siaW1nX3VybCI6Imh0dHBzOi8vaWlwLnNtay5kay9paWlmL2pwMi9LTVMxMDkzLWNyb3BwZWQudGlmLmpwMi9mdWxsL2Z1bGwvMC9uYXRpdmUuanBnIiwicHVibGljX2RvbWFpbiI6dHJ1ZSwib2JqZWN0X251bWJlciI6IktNUzEwOTMiLCJudW0iOiIifV0=/KMS1093.jpg image];{{Licensed-PD-Art|PD-old|Cc-zero}}<br/>	{{Statens Museum for Kunst collaboration project}};;*{{citation|title=Der Bildhauer im Porträt: Darstellungstraditionen im Künstlerbildnis vom 16. bis zur Mitte des 19. Jahrhunderts|author=Annette Kanzenbach|others=Afb. kat. nr. 124., p. 419|id=D 39163|year=2007}}<br/>*{{citation|title=Kunstopfattelsens og kunstkritikkens historie i Danmark|author=Erik Mortensen|others=bd. 1, p. 154|year=1990}}<br/>*{{citation|title=Profession ohne Tradition: 125 Jahre Verein der Berliner Künstlerinnen|author=Carola Muysers|others=afb. p. 521|id=92-646|year=c1992}}<br/>*{{citation|title=Breve fra London: Elisabeth Jerichau Baumann og den victorianske kunstverden|author=Elisabeth Jerichau Baumann|others=afb. p. 16|date=date unspecfied}};;[[Category:Paintings in Statens Museum for Kunst]];Q20440955;;;https://api.smk.dk/api/v1/download/W3siaW1nX3VybCI6Imh0dHBzOi8vaWlwLnNtay5kay9paWlmL2pwMi9LTVMxMDkzLWNyb3BwZWQudGlmLmpwMi9mdWxsL2Z1bGwvMC9uYXRpdmUuanBnIiwicHVibGljX2RvbWFpbiI6dHJ1ZSwib2JqZWN0X251bWJlciI6IktNUzEwOTMiLCJudW0iOiIifV0=/KMS1093.jpgPainting;True;True
;;;{{title|La Favorita del defunto Sultano Abdul Aziz|lang=it}}{{title|Afdøde Sultan Abdul Aziz' favorithustru|lang=da}}{{title|En ægyptisk pottesælgerske ved Gizeh|lang=da}};* {{da|Maleriet forestiller ifølge en gammel udstillingsetiket fra 1881 "sultan Abdul Aziz' favorit". Sultan Abdülaziz regerede Det Ottomanske Rige fra 1861-1876.}};;1876-1878;olie på lærred;{{Size|unit=mm|width=114|height=92}};{{Institution:Statens Museum for Kunst, Copenhagen}};;;* {{da|Maleriet er måske bestilt af sultan Abdülaziz, men ikke færdiggjort inden hans død i 1877. Ifølge EJB`s notater er maleriet solgt i 1879 for 3500 kr og et auktionsnotat fra 1883 viser fornyet salg til Bergsøe for 2100 kr. Muligvis ved denne lejlighed erhvervet af ejeren af Petersgaard på Lolland, Ida Marie Suhr (1853-1938), som testamenterede godset (inkl. maleriet) til sin søsterdattersøn, kammerherre Iens Iuel Dennes hustru Clara Iuel solgte maleriet på auktion hos Bruun Rasmussen i 1977 for 16.000 kr. Erhvervet af Ludwig Karl Erich Christian Detlev Alexander Graf zu Reventlow, født 7.10.41, Hamburg. Sat på auktion hos Bruun Rasmussen, 26. november 1996, auktion nr. 627, kat. 186&semi ikke solgt. Efterfølgende købt af skuespilleren og forfatteren Birgit Pouplier. Efter hendes død 2014 solgt af hendes enkemand Knud A. Nielsen til SMK i 2016.}}<br/>* {{ProvenanceEvent|date=2016-12-31|type=acquisition|newowner=[[Statens Museum for Kunst]]}};* {{Temporary Exhibition |name=Nordic Highlights |institution= |place= Sølvgade |begin=2017-04-07 |end=2017-08-12}};;;* {{da|Billedet er et koncentrat af iagttagelser på rejser 1869-70 og 1874-75 til Tyrkiet, Grækenland og Ægypten og må betegnes som et af Jerichau Baumanns hovedværker. Det er båret af en sensualitet og koloristisk dristighed, der er atypisk for periodens danske kunst, men mindre præget af den pointerede etnocentrisme, som præger den samtidige internationale orientalisme. Billedet udmærker sig ved en kontrastrig farveholdning, hvor det knyttede tæppes farvepragt springer i øjnene. Nøgenheden under det tynde silkestof og de eksotiske smykker giver det en sanselighed, som stadig gør indtryk. Med sin polsk-tyske baggrund havde Jerichau Baumann en videre horisont end de fleste danske kunstnere på den tid. Sammen med Martinus Rørbye har hun leveret de væsentligste danske bidrag til 1800-tallets europæiske orientalisme. Maleriet har senest tilhørt forfatteren Birgit Pouplier, hvis bøger om Elisabeth Jerichau Baumann har haft stor betydning for den voksende interesse for kunstneren.}}<br/>* {{da|Feminisme i senguldalderen Elisabeth Jerichau Baumann (1819-1881), En ægyptisk pottesælgerske ved Gizeh (1876-78) Med sine portrætter af orientalske kvinder har Elisabeth Jerichau Baumann skrevet sig ind i europæisk kunsthistorie. Hun kastede et andet blik på kvinden end sine mandlige kollegaer og gav dem en stærk personlighed og selvværd. Den danske guldalder er andet end bølgende kornmarker og maleriske solnedgange. Det demonstrerer Elisabeth Jerichau Baumann overbevisende med værket En ægyptisk pottesælgerske ved Gizeh, der er et af museets 10 største highlights. Jerichau Baumann er blevet genopdaget indenfor de sidste 10-20 år i takt med, at man er begyndt at interessere sig mere for feminisme og kvindelige kunstnere. Maleriet har indtil for ganske nylig været i privateje hos den danske forfatter Birgit Pouplier, hvis bøger om den kvindelige kunster også har været med til at skærpe interessen for hende. Ved Birgit Poupliers død i 2014 tilbød hendes mand, Knud Jerichau Nielsen, museet at købe værket, som SMK i mange år havde været på jagt efter. For overinspektør, Peter Nørgaard Larsen, er det et af hans favoritværker: “Man har fornemmelsen af, at det er en stærk personlighed, der ikke affinder sig med at være sexobjekt, men som har et selvværd. Der skiller Elisabeth Jerichau Baumanns billeder sig rigtig meget ud fra det, vi kalder europæisk orientalisme. Her er der ellers en lang tradition for, at de mandlige kunstnere maler smukke orientalske kvinder uden særlig meget tøj på, som bliver købt af mænd og set af mænd. Hun havde en anden sensibilitet, som man kan se i det her billede, og det gør det til noget enestående ikke kun i dansk, men også europæisk kunst.” Elisabeth Jerichau Baumann havde også den fordel, at hun i modsætning til sine mandlige kollegaer blev lukket ind i de tyrkiske harem, og i hendes portrætter af de orientalske kvinder er de både sanselige og konfronterende og ser oftest direkte på publikum uden at slå blikket ned. “Det er malet med en koloristisk kraft og fornemmelse for farverne, som man ikke ser ret mange andre steder i hendes billeder. På den måde er det fantastisk vellykket,” siger Peter Nørgaard Larsen. Stor international karriere Elisabeth Jerichau Baumann er af tysk-polsk afstamning og flytter til Danmark i 1849 efter, at hun er blevet gift med den danske billedhugger og professor ved Det Kongelige Danske Kunstakademi, Jens Adolf Jerichau, som hun får ni børn med. Hun er rundet af en anden tradition med sin uddannelse i Tyskland, og Jerichau Baumann bliver af den danske kunstelite diskrimineret pga. sit køn og sin baggrund. Hun bliver opfattet som overfladisk og hun bliver skældt ud for at være for international i sin måde at male på. Dertil kommer at hun, i sin samtid, er oppe imod ikoner som Christen Købke og C. W. Eckersberg og deres virkelighedsnære fortolkning af det nationale. Men som den kosmopolit Elisabeth Jerichau Baumann er, holder hun fast i sin stil. Hun er ofte i Rom eller på rejse i England, Tyrkiet og Ægypten og får en stor international karriere. En af hendes forcer er, at hun er god til at forskønne og kombineret med hendes evner til at netværke og markedsføre sin egen kunst, bliver Elisabeth Jerichau Baumann en meget populær portrætmaler hos adelen og kongehusene. Hendes kunder tæller bl.a. dronning Victoria, Napoleon, den russiske zar Alexander II og den ægyptiske khediv. “I disse år taler vi meget om migration, og hvad der sker, når man flytter fra en kultur til en anden. Hvad tager man med sig, og hvad sker der, når man møder en anden kultur og en anden tradition. Hvad er det for en kunst, der kommer ud af det?” siger Peter Nørgaard Larsen. “Elisabeth Jerichau Baumann er et godt eksempel på, at der kan komme noget godt ud af det, hvis man som hende møder nye impulser med åbenhed og giver det nye og anderledes plads til at udvikle kunst og identitet.” Andre museer Elisabeth Jerichau Baumann kan ses på Ny Carlsberg Glyptotek, Kunsten i Ålborg og Frederiksborgmuseet i Hillerød har flere af hendes vigtige værker. Internationalt kan man møde hende i bl.a. nationalgallerierne i Oslo og Stockholm.}};KMS8791;;* {{SMK API|KMS8791}}<br/>* {{SMK Open|KMS8791}}<br/>* [https://api.smk.dk/api/v1/download/W3siaW1nX3VybCI6Imh0dHBzOi8vaWlwLnNtay5kay9paWlmL2pwMi9rbXM4NzkxLWNyb3BwZWQudGlmLmpwMi9mdWxsL2Z1bGwvMC9uYXRpdmUuanBnIiwicHVibGljX2RvbWFpbiI6dHJ1ZSwib2JqZWN0X251bWJlciI6IktNUzg3OTEiLCJudW0iOiIifV0=/KMS8791.jpg image];{{Licensed-PD-Art|PD-old|Cc-zero}}<br/>	{{Statens Museum for Kunst collaboration project}};;*{{citation|title=I halvmånens skær: eksempler på skildringer af Den Nære Orient i dansk kunst og litteratur omkring 1800-1875|author=Birgitte von Folsach|others=s. 128f kat. 72.|id=k1996-138|year=1996}}<br/>*{{citation|title=Elisabeth Jerichau Baumann|author=unknown|others=heri: Peter Nørgaard Larsen, "Fra nationalromantisk bondeliv til Orientens haremsmystik", s. 15-17 (afb. på forsiden).|id=ka2000-831|year=1997}}<br/>*{{citation|title=Brogede rejsebilleder|author=Elisabeth Jerichau-Baumann|others=ml. s. 48 & 49 (beslægtet motiv afbildet i xylogreferet gengivelse, kaldet "Pottesælgerske").|id=7561|year=1881}}<br/>*{{citation|title=Kampf und Sichtbarkeit|author=Yvette Deseyve|others=Fig. 6, afb. p. 27|year=2019}};;[[Category:Paintings in Statens Museum for Kunst]];Q48452709;;;https://api.smk.dk/api/v1/download/W3siaW1nX3VybCI6Imh0dHBzOi8vaWlwLnNtay5kay9paWlmL2pwMi9rbXM4NzkxLWNyb3BwZWQudGlmLmpwMi9mdWxsL2Z1bGwvMC9uYXRpdmUuanBnIiwicHVibGljX2RvbWFpbiI6dHJ1ZSwib2JqZWN0X251bWJlciI6IktNUzg3OTEiLCJudW0iOiIifV0=/KMS8791.jpgPainting;True;True
{{Creator:Agnes Slott-Møller}};;;{{da|Himmel og hav med skib}};;;1894;Blyant, vandfarve og højhvidt;{{Size|unit=mm|width=179|height=113}};{{Institution:Statens Museum for Kunst, Copenhagen}};;;* {{da|Overdraget Kobberstiksamlingen af fru Suzette Sthyr Lykke Slott-Møllers kusine og boets eksekutor}}<br/>* {{ProvenanceEvent|date=1988-12-31|type=acquisition|newowner=[[Statens Museum for Kunst]]}};;;{{inscription |1=f.n.t.h. med blyant: "1st Juli"}};;KKSgb8339/14;;* {{SMK API|KKSgb8339/14}}<br/>* {{SMK Open|KKSgb8339/14}}<br/>* [https://api.smk.dk/api/v1/download/W3siaW1nX3VybCI6Imh0dHBzOi8vaWlwLnNtay5kay9paWlmL2pwMi9ra3NnYjgzMzlfMTQudGlmLnJlY29uc3RydWN0ZWQudGlmLmpwMi9mdWxsL2Z1bGwvMC9uYXRpdmUuanBnIiwicHVibGljX2RvbWFpbiI6dHJ1ZSwib2JqZWN0X251bWJlciI6IktLU2diODMzOS8xNCIsIm51bSI6IiJ9XQ==/KKSgb8339/14.jpg image];{{Licensed-PD-Art|PD-old|Cc-zero}}<br/>	{{Statens Museum for Kunst collaboration project}};;*{{citation|title=Agnes Slott-Møller: skønhed er til evig glæde|author=unknown|others=Afb. p. 62|id=C 40506|year=2008}}<br/>*{{citation|title=Hieroglyffer: Symbolismens tegninger 1890-1910|author=Thomas Lederballe|others=p. 57, fig. 23|id=C 64758|year=2018}};;[[Category:Blyants in Statens Museum for Kunst]];;;;https://api.smk.dk/api/v1/download/W3siaW1nX3VybCI6Imh0dHBzOi8vaWlwLnNtay5kay9paWlmL2pwMi9ra3NnYjgzMzlfMTQudGlmLnJlY29uc3RydWN0ZWQudGlmLmpwMi9mdWxsL2Z1bGwvMC9uYXRpdmUuanBnIiwicHVibGljX2RvbWFpbiI6dHJ1ZSwib2JqZWN0X251bWJlciI6IktLU2diODMzOS8xNCIsIm51bSI6IiJ9XQ==/KKSgb8339/14.jpgBlyant;True;True
{{Creator:Agnes Slott-Møller}};;;{{da|Skitsebog. 1908-10}}{{da|Skitse til "Fædrelandets Vaar"}};;;1910;Blyant;{{Size|unit=mm|width=205|height=120}};{{Institution:Statens Museum for Kunst, Copenhagen}};;;* {{ProvenanceEvent|date=1988-12-31|type=acquisition|newowner=[[Statens Museum for Kunst]]}};* {{Temporary Exhibition |name=Agnes Slott-Møller |institution= |place= ARoS Aarhus Kunstmuseum |begin=2018-09-28 |end=2019-01-05}};;;;KKSgb14072/31;;* {{SMK API|KKSgb14072/31}}<br/>* {{SMK Open|KKSgb14072/31}}<br/>* [https://api.smk.dk/api/v1/thumbnail/48471a1d-9610-44ef-a938-146a9c20567d.JPG image];{{Licensed-PD-Art|PD-old|Cc-zero}}<br/>	{{Statens Museum for Kunst collaboration project}};;*{{citation|title=Agnes Slott-Møller: skønhed er til evig glæde|author=unknown|others=sml. med maleri p. 159|id=C 40506|year=2008}}<br/>*{{citation|title=Agnes Slott-Møller: Helte og heltinder|author=Erlend G. Høyersten|others=afb. p. 77|date=date unspecfied}};;[[Category:Drawings in Statens Museum for Kunst]];;;;https://api.smk.dk/api/v1/thumbnail/48471a1d-9610-44ef-a938-146a9c20567d.JPGDrawing;True;True
{{Creator:Agnes Slott-Møller}};;;{{title|Niels Ebbesen|lang=da}};* {{da|Forarbejde til maleri Randers Kunstmuseum}};;1893;Blyant og vandfarve på kraftigt papir. Tegningen inddelt i kvadrater med blyant;{{Size|unit=mm|width=298|height=247}};{{Institution:Statens Museum for Kunst, Copenhagen}};;;* {{da|Overdraget til Kobberstiksamlingen af fru Suzette Styhr, Lykke Slott-Møllers kusine og boets eksekutor}}<br/>* {{ProvenanceEvent|date=1988-12-31|type=acquisition|newowner=[[Statens Museum for Kunst]]}};* {{Temporary Exhibition |name=Agnes Slott-Møller |institution= |place= ARoS Aarhus Kunstmuseum |begin=2018-09-28 |end=2019-01-05}};;{{inscription |1=Påskrift f.n.t.v. med blyant: "August 93 Agnes Slott-Møller"}}<br/>{{inscription |1=Påskrift f.n.t.v. med blyant: "1ste Udkast til // Niels Ebbesen"}}<br/>{{inscription |1=Signeret f.n.t.v.: "Agnes Slott-Møller"}};;KKSgb8337;;* {{SMK API|KKSgb8337}}<br/>* {{SMK Open|KKSgb8337}}<br/>* [https://api.smk.dk/api/v1/download/W3siaW1nX3VybCI6Imh0dHBzOi8vaWlwLnNtay5kay9paWlmL2pwMi9ra3NnYjgzMzcudGlmLnJlY29uc3RydWN0ZWQudGlmLmpwMi9mdWxsL2Z1bGwvMC9uYXRpdmUuanBnIiwicHVibGljX2RvbWFpbiI6dHJ1ZSwib2JqZWN0X251bWJlciI6IktLU2diODMzNyIsIm51bSI6IiJ9XQ==/KKSgb8337.jpg image];{{Licensed-PD-Art|PD-old|Cc-zero}}<br/>	{{Statens Museum for Kunst collaboration project}};;*{{citation|title=Agnes Slott-Møller: Helte og heltinder|author=Erlend G. Høyersten|others=afb. p.73|date=date unspecfied}};;[[Category:Drawings in Statens Museum for Kunst]];;;;https://api.smk.dk/api/v1/download/W3siaW1nX3VybCI6Imh0dHBzOi8vaWlwLnNtay5kay9paWlmL2pwMi9ra3NnYjgzMzcudGlmLnJlY29uc3RydWN0ZWQudGlmLmpwMi9mdWxsL2Z1bGwvMC9uYXRpdmUuanBnIiwicHVibGljX2RvbWFpbiI6dHJ1ZSwib2JqZWN0X251bWJlciI6IktLU2diODMzNyIsIm51bSI6IiJ9XQ==/KKSgb8337.jpgDrawing;True;True
{{Creator:Agnes Slott-Møller}};;;{{da|Udkast til "Så farverlig ganger de piber imellem Roskilde og Ribe.."}};;;1892;Blyant og vandfarve;{{Size|unit=mm|width=284|height=134}};{{Institution:Statens Museum for Kunst, Copenhagen}};;;* {{da|Overdraget til Kobberstiksamlingen af fru Suzette Sthyr, Lykke Slott-Møllers kusine og boets eksekutor}}<br/>* {{ProvenanceEvent|date=1988-12-31|type=acquisition|newowner=[[Statens Museum for Kunst]]}};* {{Temporary Exhibition |name=Agnes Slott-Møller |institution= |place= ARoS Aarhus Kunstmuseum |begin=2018-09-28 |end=2019-01-05}};;{{inscription |1=f.n. under tegning med blyant: "Saa farverlig ganger di piber imellem Roskilde og Ribe-"}};;KKSgb8356/25 verso;;* {{SMK API|KKSgb8356/25 verso}}<br/>* {{SMK Open|KKSgb8356/25 verso}}<br/>* [https://api.smk.dk/api/v1/thumbnail/fe3c9444-16d9-41f4-8c7b-710065357eaf.jpg image];{{Licensed-PD-Art|PD-old|Cc-zero}}<br/>	{{Statens Museum for Kunst collaboration project}};;*{{citation|title=Agnes Slott-Møller: skønhed er til evig glæde|author=unknown|others=Afb. p. 142|id=C 40506|year=2008}}<br/>*{{citation|title=Agnes Slott-Møller: Helte og heltinder|author=Erlend G. Høyersten|others=afb. p. 74|date=date unspecfied}};;[[Category:Drawings in Statens Museum for Kunst]];;;;https://api.smk.dk/api/v1/thumbnail/fe3c9444-16d9-41f4-8c7b-710065357eaf.jpgDrawing;True;True
