artist;title;accession_number;imageurl;public_domain;has_image
Joakim Skovgaard;Gud, Adam og dyrene i Paradiset;KKSgb17303;;True;
Theodor Philipsen;Udskibningen fra Kastrup;KKS13150;;True;
Theodor Philipsen;Siddende mandlig model;KKS13150 verso;;True;
Joakim Skovgaard;Tegning til "Evafadet";KKS8586;;True;
Kristian Zahrtmann;Sokrates og Alkibiades;KMS8219;https://api.smk.dk/api/v1/download/W3siaW1nX3VybCI6Imh0dHBzOi8vaWlwLnNtay5kay9paWlmL2pwMi9LTVM4MjE5LnRpZi5yZWNvbnN0cnVjdGVkLnRpZi5qcDIvZnVsbC9mdWxsLzAvbmF0aXZlLmpwZyIsInB1YmxpY19kb21haW4iOnRydWUsIm9iamVjdF9udW1iZXIiOiJLTVM4MjE5IiwibnVtIjoiIn1d/KMS8219.jpg;True;True
Kristian Zahrtmann;Selvportræt en face. Lampelys;KMS7474;https://api.smk.dk/api/v1/download/W3siaW1nX3VybCI6Imh0dHBzOi8vaWlwLnNtay5kay9paWlmL2pwMi9LTVM3NDc0LlRJRi5yZWNvbnN0cnVjdGVkLnRpZi5qcDIvZnVsbC9mdWxsLzAvbmF0aXZlLmpwZyIsInB1YmxpY19kb21haW4iOnRydWUsIm9iamVjdF9udW1iZXIiOiJLTVM3NDc0IiwibnVtIjoiIn1d/KMS7474.jpg;True;True
Kristian Zahrtmann;Leonora Christina i fængslet;KMS4313;https://api.smk.dk/api/v1/download/W3siaW1nX3VybCI6Imh0dHBzOi8vaWlwLnNtay5kay9paWlmL2pwMi9LTVM0MzEzLlRJRi5yZWNvbnN0cnVjdGVkLnRpZi5qcDIvZnVsbC9mdWxsLzAvbmF0aXZlLmpwZyIsInB1YmxpY19kb21haW4iOnRydWUsIm9iamVjdF9udW1iZXIiOiJLTVM0MzEzIiwibnVtIjoiIn1d/KMS4313.jpg;True;True
Kristian Zahrtmann;Fugleperspektiv fra Ravello mod Torello;KMS3109;https://api.smk.dk/api/v1/thumbnail/6d720d0f-e554-4f24-aae7-7693e872e4c4.jpg;True;True
Kristian Zahrtmann;Leonora Christina i Maribo Kloster;KMS1232;https://api.smk.dk/api/v1/download/W3siaW1nX3VybCI6Imh0dHBzOi8vaWlwLnNtay5kay9paWlmL2pwMi9LTVMxMjMyLlRJRi5yZWNvbnN0cnVjdGVkLWNyb3BwZWQudGlmLmpwMi9mdWxsL2Z1bGwvMC9uYXRpdmUuanBnIiwicHVibGljX2RvbWFpbiI6dHJ1ZSwib2JqZWN0X251bWJlciI6IktNUzEyMzIiLCJudW0iOiIifV0=/KMS1232.jpg;True;True
Kristian Zahrtmann;Dronning Kristina i Palazzo Corsini;KMS7961;https://api.smk.dk/api/v1/thumbnail/36f8be03-6328-4078-8469-f5f0b4bb6769.jpg;True;True
Kristian Zahrtmann;Dronning Sophie Amalies død;KMS1231;https://api.smk.dk/api/v1/download/W3siaW1nX3VybCI6Imh0dHBzOi8vaWlwLnNtay5kay9paWlmL2pwMi9rbXMxMjMxLnRpZi5yZWNvbnN0cnVjdGVkLnRpZi5qcDIvZnVsbC9mdWxsLzAvbmF0aXZlLmpwZyIsInB1YmxpY19kb21haW4iOnRydWUsIm9iamVjdF9udW1iZXIiOiJLTVMxMjMxIiwibnVtIjoiIn1d/KMS1231.jpg;True;True
Kristian Zahrtmann;Nøgen mandlig model, siddende mod venstre;KKS1969-80;;True;
Joakim Skovgaard;Tegning efter gips. Relief med akantusranke;KKSgb5133;https://api.smk.dk/api/v1/download/W3siaW1nX3VybCI6Imh0dHBzOi8vaWlwLnNtay5kay9paWlmL2pwMi9LS1NnYjUxMzMudGlmLnJlY29uc3RydWN0ZWQudGlmLmpwMi9mdWxsL2Z1bGwvMC9uYXRpdmUuanBnIiwicHVibGljX2RvbWFpbiI6dHJ1ZSwib2JqZWN0X251bWJlciI6IktLU2diNTEzMyIsIm51bSI6IiJ9XQ==/KKSgb5133.jpg;True;True
Theodor Philipsen;Med solen i øjnene;KKS6317;https://api.smk.dk/api/v1/download/W3siaW1nX3VybCI6Imh0dHBzOi8vaWlwLnNtay5kay9paWlmL2pwMi9LS1M2MzE3LnRpZi5yZWNvbnN0cnVjdGVkLnRpZi5qcDIvZnVsbC9mdWxsLzAvbmF0aXZlLmpwZyIsInB1YmxpY19kb21haW4iOnRydWUsIm9iamVjdF9udW1iZXIiOiJLS1M2MzE3IiwibnVtIjoiIn1d/KKS6317.jpg;True;True
Joakim Skovgaard;Tegning efter gips. En fod;KKSgb5130;https://api.smk.dk/api/v1/download/W3siaW1nX3VybCI6Imh0dHBzOi8vaWlwLnNtay5kay9paWlmL2pwMi9wYzQtMDQtMDUtMjAwNV8wMjAudGlmLmpwMi9mdWxsL2Z1bGwvMC9uYXRpdmUuanBnIiwicHVibGljX2RvbWFpbiI6dHJ1ZSwib2JqZWN0X251bWJlciI6IktLU2diNTEzMCIsIm51bSI6IiJ9XQ==/KKSgb5130.jpg;True;True
Kristian Zahrtmann;Job og hans venner;KMS1661;https://api.smk.dk/api/v1/download/W3siaW1nX3VybCI6Imh0dHBzOi8vaWlwLnNtay5kay9paWlmL2pwMi9LTVNLTVMxNjYxLnRpZi5yZWNvbnN0cnVjdGVkLnRpZi5qcDIvZnVsbC9mdWxsLzAvbmF0aXZlLmpwZyIsInB1YmxpY19kb21haW4iOnRydWUsIm9iamVjdF9udW1iZXIiOiJLTVMxNjYxIiwibnVtIjoiIn1d/KMS1661.jpg;True;True
Joakim Skovgaard;Portræt af Eline Skovgaard?;KKS1977-389;https://api.smk.dk/api/v1/download/W3siaW1nX3VybCI6Imh0dHBzOi8vaWlwLnNtay5kay9paWlmL2pwMi9wYzRfLV8xOS0wOS0wNV8tXzAyMi50aWYucmVjb25zdHJ1Y3RlZC50aWYuanAyL2Z1bGwvZnVsbC8wL25hdGl2ZS5qcGciLCJwdWJsaWNfZG9tYWluIjp0cnVlLCJvYmplY3RfbnVtYmVyIjoiS0tTMTk3Ny0zODkiLCJudW0iOiIifV0=/KKS1977-389.jpg;True;True
Joakim Skovgaard;Odin på Sleipuir. Vindfløjen på Vallekilde højskole;KKS1977-387;https://api.smk.dk/api/v1/download/W3siaW1nX3VybCI6Imh0dHBzOi8vaWlwLnNtay5kay9paWlmL2pwMi9wYzRfLV8xOS0wOS0wNV8tXzAyMC50aWYucmVjb25zdHJ1Y3RlZC50aWYuanAyL2Z1bGwvZnVsbC8wL25hdGl2ZS5qcGciLCJwdWJsaWNfZG9tYWluIjp0cnVlLCJvYmplY3RfbnVtYmVyIjoiS0tTMTk3Ny0zODciLCJudW0iOiIifV0=/KKS1977-387.jpg;True;True
