?item	?itemLabel	?kid	?commons_skab	?commonscat	?article
<http://www.wikidata.org/entity/Q86895>	"Friedrich Carl Gröger"@da	"520"	"Friedrich Carl Gröger"	"Friedrich Carl Gröger"	<https://commons.wikimedia.org/wiki/Category:Friedrich_Carl_Gr%C3%B6ger>
<http://www.wikidata.org/entity/Q102139>	"Margrethe 2."@da	"6097"		"Margrethe II of Denmark"	<https://commons.wikimedia.org/wiki/Margrethe_II>
<http://www.wikidata.org/entity/Q259393>	"Bernardo Eberhart Keilhau"@da	"678"	"Bernhard Keil"	"Bernhard Keil"	<https://commons.wikimedia.org/wiki/Category:Bernhard_Keil>
<http://www.wikidata.org/entity/Q260817>	"Theodor van Thulden"@da	"1865"	"Theodoor van Thulden"	"Theodoor van Thulden"	<https://commons.wikimedia.org/wiki/Category:Theodoor_van_Thulden>
<http://www.wikidata.org/entity/Q261496>	"Barent Fabritius"@da	"1547"	"Barent Fabritius"	"Barent Fabritius"	<https://commons.wikimedia.org/wiki/Category:Barent_Fabritius>
<http://www.wikidata.org/entity/Q261859>	"Johann Wolfgang Baumgartner"@da	"1346"	"Johann Wolfgang Baumgartner"	"Johann Wolfgang Baumgartner"	<https://commons.wikimedia.org/wiki/Category:Johann_Wolfgang_Baumgartner>
<http://www.wikidata.org/entity/Q263569>	"Joseph Anton Koch"@da	"689"	"Joseph Anton Koch"	"Joseph Anton Koch"	<https://commons.wikimedia.org/wiki/Category:Joseph_Anton_Koch>
<http://www.wikidata.org/entity/Q267858>	"Albert Marquet"@da	"773"	"Albert Marquet"	"Albert Marquet"	<https://commons.wikimedia.org/wiki/Albert_Marquet>
<http://www.wikidata.org/entity/Q70893>	"Melchior Lorck"@da	"575"	"Melchior Lorck"	"Melchior Lorck"	<https://commons.wikimedia.org/wiki/Category:Melchior_Lorck>
<http://www.wikidata.org/entity/Q71728>	"Jan Boeckhorst"@da	"1374"	"Jan Boeckhorst"	"Jan Boeckhorst"	<https://commons.wikimedia.org/wiki/Category:Jan_Boeckhorst>
<http://www.wikidata.org/entity/Q76718>	"Anton Rafael Mengs"@da	"793"	"Anton Raphael Mengs"	"Anton Raphael Mengs"	<https://commons.wikimedia.org/wiki/Anton_Raphael_Mengs>
<http://www.wikidata.org/entity/Q82566>	"François Perrier"@da	"1599"	"François Perrier"	"François Perrier"	<https://commons.wikimedia.org/wiki/Category:Fran%C3%A7ois_Perrier>
<http://www.wikidata.org/entity/Q708543>	"Julius Exner"@da	"175"	"Julius Exner"	"Julius Exner"	<https://commons.wikimedia.org/wiki/Category:Julius_Exner>
<http://www.wikidata.org/entity/Q708746>	"Carl Johan Fahlcrantz"@da	"17545"	"Carl Johan Fahlcrantz"	"Carl Johan Fahlcrantz (painter)"	<https://commons.wikimedia.org/wiki/Category:Carl_Johan_Fahlcrantz_(painter)>
<http://www.wikidata.org/entity/Q708746>	"Carl Johan Fahlcrantz"@da	"1648"	"Carl Johan Fahlcrantz"	"Carl Johan Fahlcrantz (painter)"	<https://commons.wikimedia.org/wiki/Category:Carl_Johan_Fahlcrantz_(painter)>
<http://www.wikidata.org/entity/Q709404>	"Thomas Wyck"@da	"1960"	"Thomas Wijck"	"Thomas Wijck"	<https://commons.wikimedia.org/wiki/Category:Thomas_Wijck>
<http://www.wikidata.org/entity/Q709853>	"Ernst Josephson"@da	"1670"	"Ernst Josephson"	"Ernst Josephson"	<https://commons.wikimedia.org/wiki/Category:Ernst_Josephson>
<http://www.wikidata.org/entity/Q711203>	"Emanuel de Witte"@da	"1965"	"Emanuel de Witte"	"Emanuel de Witte"	<https://commons.wikimedia.org/wiki/Category:Emanuel_de_Witte>
<http://www.wikidata.org/entity/Q365068>	"P.S. Krøyer"@da	"996"	"Peder Severin Krøyer"	"Peder Severin Krøyer"	<https://commons.wikimedia.org/wiki/P.S._Kr%C3%B8yer>
<http://www.wikidata.org/entity/Q365362>	"Adolph Friedrich Vollmer"@da	"638"	"Adolph Friedrich Vollmer"	"Adolph Friedrich Vollmer"	<https://commons.wikimedia.org/wiki/Category:Adolph_Friedrich_Vollmer>
<http://www.wikidata.org/entity/Q367741>	"Adriaen van de Velde"@da	"1898"	"Adriaen van de Velde"	"Adriaen van de Velde"	<https://commons.wikimedia.org/wiki/Category:Adriaen_van_de_Velde>
<http://www.wikidata.org/entity/Q367865>	"Adriaen van de Venne"@da	"1903"	"Adriaen van de Venne"	"Adriaen van de Venne"	<https://commons.wikimedia.org/wiki/Category:Adriaen_van_de_Venne>
<http://www.wikidata.org/entity/Q367970>	"Adriaen van Utrecht"@da	"1881"	"Adriaen van Utrecht"	"Adriaen van Utrecht"	<https://commons.wikimedia.org/wiki/Category:Adriaen_van_Utrecht>
<http://www.wikidata.org/entity/Q368053>	"Adriaen van der Werff"@da	"1954"	"Adriaen van der Werff"	"Adriaen van der Werff"	<https://commons.wikimedia.org/wiki/Category:Adriaen_van_der_Werff>
<http://www.wikidata.org/entity/Q370567>	"Jan van der Heyden"@da	"2494"	"Jan van der Heyden"	"Jan van der Heyden"	<https://commons.wikimedia.org/wiki/Category:Jan_van_der_Heyden>
<http://www.wikidata.org/entity/Q370576>	"Jürgen Ovens"@da	"1585"	"Jürgen Ovens"	"Jürgen Ovens"	<https://commons.wikimedia.org/wiki/Category:J%C3%BCrgen_Ovens>
<http://www.wikidata.org/entity/Q371280>	"George Romney"@da	"1770"	"George Romney"	"George Romney"	<https://commons.wikimedia.org/wiki/Category:George_Romney>
<http://www.wikidata.org/entity/Q372203>	"Michel Sittow"@da	"2713"	"Michel Sittow"	"Michel Sittow"	<https://commons.wikimedia.org/wiki/Category:Michel_Sittow>
<http://www.wikidata.org/entity/Q127171>	"Jean-Honoré Fragonard"@da	"1560"	"Jean-Honoré Fragonard"	"Jean-Honoré Fragonard"	<https://commons.wikimedia.org/wiki/Jean-Honor%C3%A9_Fragonard>
<http://www.wikidata.org/entity/Q127739>	"Hubert van Ravesteyn"@da	"1752"	"Hubert van Ravesteyn"	"Hubert van Ravesteyn"	<https://commons.wikimedia.org/wiki/Category:Hubert_van_Ravesteyn>
<http://www.wikidata.org/entity/Q129566>	"Harald Kihle"@da	"1674"		"Harald Kihle"	<https://commons.wikimedia.org/wiki/Category:Harald_Kihle>
<http://www.wikidata.org/entity/Q130039>	"Cornelis Saftleven"@da	"1794"	"Cornelis Saftleven"	"Cornelis Saftleven"	<https://commons.wikimedia.org/wiki/Category:Cornelis_Saftleven>
<http://www.wikidata.org/entity/Q109061>	"Guido Reni"@da	"1755"	"Guido Reni"	"Guido Reni"	<https://commons.wikimedia.org/wiki/Guido_Reni>
<http://www.wikidata.org/entity/Q113411>	"Wolfgang Heimbach"@da	"2495"	"Wolfgang Heimbach"	"Wolfgang Heimbach"	<https://commons.wikimedia.org/wiki/Category:Wolfgang_Heimbach>
<http://www.wikidata.org/entity/Q120354>	"Albert Gottschalk"@da	"193"	"Albert Gottschalk"	"Albert Gottschalk"	<https://commons.wikimedia.org/wiki/Category:Albert_Gottschalk>
<http://www.wikidata.org/entity/Q120609>	"Johannes Verkolje"@da	"1912"	"Jan Verkolje (I)"	"Jan Verkolje (I)"	<https://commons.wikimedia.org/wiki/Category:Jan_Verkolje_(I)>
<http://www.wikidata.org/entity/Q120993>	"Amedeo Modigliani"@da	"814"	"Amedeo Modigliani"	"Amedeo Modigliani"	<https://commons.wikimedia.org/wiki/Amedeo_Modigliani>
<http://www.wikidata.org/entity/Q380897>	"Jacopo Amigoni"@da	"1318"	"Jacopo Amigoni"	"Jacopo Amigoni"	<https://commons.wikimedia.org/wiki/Jacopo_Amigoni>
<http://www.wikidata.org/entity/Q589400>	"Anton Friedrich Harms"@da	"2490"		"Anton Friedrich Harms"	<https://commons.wikimedia.org/wiki/Category:Anton_Friedrich_Harms>
<http://www.wikidata.org/entity/Q590969>	"Gianantonio Guardi"@da	"2969"	"Giovanni Antonio Guardi"	"Giovanni Antonio Guardi"	<https://commons.wikimedia.org/wiki/Category:Giovanni_Antonio_Guardi>
<http://www.wikidata.org/entity/Q591684>	"Claude Vignon"@da	"1928"	"Claude Vignon"	"Claude Vignon"	<https://commons.wikimedia.org/wiki/Category:Claude_Vignon>
<http://www.wikidata.org/entity/Q592396>	"Cornelis Schut"@da	"1814"	"Cornelis Schut"	"Cornelis Schut"	<https://commons.wikimedia.org/wiki/Category:Cornelis_Schut>
<http://www.wikidata.org/entity/Q594729>	"Anton Teichlein"@da	"1859"		"Anton Teichlein"	<https://commons.wikimedia.org/wiki/Category:Anton_Teichlein>
<http://www.wikidata.org/entity/Q595514>	"Anton Wilhelm Tischbein"@da		"Anton Wilhelm Tischbein"	"Anton Wilhelm Tischbein"	<https://commons.wikimedia.org/wiki/Category:Anton_Wilhelm_Tischbein>
<http://www.wikidata.org/entity/Q596352>	"Pieter Neeffs"@da	"845"	"Pieter Neefs (I)"	"Pieter Neefs (I)"	<https://commons.wikimedia.org/wiki/Category:Pieter_Neefs_(I)>
<http://www.wikidata.org/entity/Q600321>	"Robert Walker"@da	"1948"	"Robert Walker"	"Robert Walker (painter)"	<https://commons.wikimedia.org/wiki/Category:Robert_Walker_(painter)>
<http://www.wikidata.org/entity/Q600844>	"Frans Francken"@da	"2797"	"Frans Francken (I)"	"Frans Francken (I)"	<https://commons.wikimedia.org/wiki/Category:Frans_Francken_(I)>
<http://www.wikidata.org/entity/Q602053>	"Antonio Franchi"@da	"1562"	"Antonio Franchi"	"Antonio Franchi"	<https://commons.wikimedia.org/wiki/Category:Antonio_Franchi>
<http://www.wikidata.org/entity/Q711737>	"Nicolaes Pietersz. Berchem"@da	"1358"	"Nicolaes Berchem"	"Nicolaes Berchem"	<https://commons.wikimedia.org/wiki/Nicolaes_Berchem>
<http://www.wikidata.org/entity/Q711770>	"Dirck van Delen"@da	"1503"	"Dirck van Delen"	"Dirck van Delen"	<https://commons.wikimedia.org/wiki/Category:Dirck_van_Delen>
<http://www.wikidata.org/entity/Q712455>	"Jean Jouvenet"@da	"673"	"Jean-Baptiste Jouvenet"	"Jean-Baptiste Jouvenet"	<https://commons.wikimedia.org/wiki/Category:Jean-Baptiste_Jouvenet>
<http://www.wikidata.org/entity/Q715909>	"Louis-Léopold Boilly"@da	"1376"	"Louis-Léopold Boilly"	"Louis-Léopold Boilly"	<https://commons.wikimedia.org/wiki/Category:Louis-L%C3%A9opold_Boilly>
