inventorynumber;wikidataitem;creator;title;image;url;height;width;mime
KMSst351;Q20440260;[[wikidata:Q1161256]];River Scenery;https://commons.wikimedia.org/wiki/Special:FilePath/Jan I Griffier - River Scenery - KMSst351 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMSst351;596;768;image/jpeg
KMS3321;Q20491951;[[wikidata:Q12336482]];En omrejsende projektmager foreviser et musikalsk menageri;https://commons.wikimedia.org/wiki/Special:FilePath/Sophus Schack - En omrejsende projektmager foreviser et musikalsk menageri - KMS3321 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS3321;608;768;image/jpeg
KMSst163;Q20440752;[[wikidata:Q3808839]];Mountain Landscape;https://commons.wikimedia.org/wiki/Special:FilePath/Johann Christian Vollerdt - Mountain Landscape - KMSst163 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMSst163;570;768;image/jpeg
DEP585;Q20267960;[[wikidata:Q127266]];Object in Action, opus 115;;https://collection.smk.dk/#/en/detail/DEP585;;;
KMS492;Q20476124;[[wikidata:Q3416034]];Forfatteren Ludvig Holberg;https://commons.wikimedia.org/wiki/Special:FilePath/C.A. Lorentzen - Forfatteren Ludvig Holberg - KMS492 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS492;768;537;image/jpeg
KMS3213;Q20268577;[[wikidata:Q2576955]];Venus and Cupid;https://commons.wikimedia.org/wiki/Special:FilePath/Jacob van Loo - Venus and Cupid - KMS3213 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS3213;600;450;image/jpeg
KMS3466;Q20440840;[[wikidata:Q164735]];View from the Hills above Castellamare at Naples;https://commons.wikimedia.org/wiki/Special:FilePath/Johan Christian Clausen Dahl - Udsigt fra højderne oven over Castellamare ved Napoli - Statens Museum for Kunst - KMS3466.jpg;https://collection.smk.dk/#/en/detail/KMS3466;300;598;image/jpeg
KMS1037;Q20483766;None;Saddled Horse with Horseman;;https://collection.smk.dk/#/en/detail/KMS1037;;;
KMS3481;Q20415678;[[wikidata:Q381458]];View from the Citadel Ramparts Towards the Trekroner Battery;https://commons.wikimedia.org/wiki/Special:FilePath/Christen Købke - View from the Citadel Ramparts Towards the Trekroner Battery - KMS3481 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS3481;395;597;image/jpeg
KMS8640;Q20540068;[[wikidata:Q28049847]];The Concert Hall;;https://collection.smk.dk/#/en/detail/KMS8640;;;
KMS4462;Q20274101;[[wikidata:Q20823519]];Landscape with Road;;https://collection.smk.dk/#/en/detail/KMS4462;;;
DEP108;Q48451938;[[wikidata:Q20823519]];Decorative Panel with Putti;;https://collection.smk.dk/#/en/detail/DEP108;;;
KMS7851;Q20551557;[[wikidata:Q392816]];Opus 11, No. 2. Vanitas;;https://collection.smk.dk/#/en/detail/KMS7851;;;
KMS1562;Q20539879;[[wikidata:Q5824034]];The Children Saying Good Night to their Stars;;https://collection.smk.dk/#/en/detail/KMS1562;;;
KMSsp671;Q20493092;[[wikidata:Q515222]];Southern Landscape;https://commons.wikimedia.org/wiki/Special:FilePath/Frederik de Moucheron - Southern Landscape - KMSsp671 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMSsp671;662;768;image/jpeg
KMS4889;Q20499254;[[wikidata:Q468252]];The Artist's Mother -in-Law, Ane Hedvig Brøndum, Reading a Letter;;https://collection.smk.dk/#/en/detail/KMS4889;;;
KMS726;Q20355005;[[wikidata:Q247005]];The Road along the River;https://commons.wikimedia.org/wiki/Special:FilePath/Salomon van Ruysdael - The Road along the River - KMS726 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS726;395;588;image/jpeg
