inventorynumber;wikidataitem;creator;title;image;url;height;width;mime
KMSr51;Q20421032;[[wikidata:Q708482]];Mother's Love;https://commons.wikimedia.org/wiki/Special:FilePath/Emile Othon Friesz, Moderkærlighed, 1914, KMSr51, Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMSr51;3291;4128;image/jpeg
KMS6451;Q20278285;[[wikidata:Q20908807]];Objects. Composition;;https://collection.smk.dk/#/en/detail/KMS6451;;;
KMS1882;Q20355562;[[wikidata:Q708036]];Saint Jerome and the Lion;https://commons.wikimedia.org/wiki/Special:FilePath/Matthijs Naiveu - Saint Jerome and the Lion - KMS1882 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS1882;768;560;image/jpeg
KMS139;Q20539742;[[wikidata:Q12305207]];Kristus i Gethsemane Have;https://commons.wikimedia.org/wiki/Special:FilePath/Carl Christian Seydewitz - Kristus i Gethsemane Have - KMS139 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS139;768;583;image/jpeg
KMS4052;Q20429552;[[wikidata:Q12329984]];Spring Day by the Sea, Bornholm;;https://collection.smk.dk/#/en/detail/KMS4052;;;
KMS7880;Q20423035;[[wikidata:Q392816]];Bacchanal at the Home of Carl V. Petersen;;https://collection.smk.dk/#/en/detail/KMS7880;;;
KMS4588;Q20440629;[[wikidata:Q20908786]];Piger på vej til brønden efter vand ved middagstid. Cività d'Antino;https://commons.wikimedia.org/wiki/Special:FilePath/Henry Lørup - Piger på vej til brønden efter vand ved middagstid. Cività d'Antino - KMS4588 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS4588;928;1200;image/jpeg
KMS7420;Q20540990;[[wikidata:Q21470234]];Cloudy Weather by the Sea;;https://collection.smk.dk/#/en/detail/KMS7420;;;
KMS7786;Q20428393;[[wikidata:Q392816]];Hommage à Putte og Bamse;;https://collection.smk.dk/#/en/detail/KMS7786;;;
DEP548;Q20540144;[[wikidata:Q581361]];Hommage à Putte og Bamse;;https://collection.smk.dk/#/en/detail/DEP548;;;
KMS4409;Q20278321;[[wikidata:Q4354819]];Composition with Hyacinth, Fruits and Blue Bowl;https://commons.wikimedia.org/wiki/Special:FilePath/Karl Isakson - Composition with Hyacinth, Fruits and Blue Bowl - KMS4409 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS4409;1200;1044;image/jpeg
KMS4960;Q20379591;[[wikidata:Q12338554]];Stenet kyst med skrænter;;https://collection.smk.dk/#/en/detail/KMS4960;;;
KMS679;Q20269431;[[wikidata:Q127739]];Still Life;https://commons.wikimedia.org/wiki/Special:FilePath/Hubert van Ravesteyn - Still Life with books an other objects on a table - KMS679.jpg;https://collection.smk.dk/#/en/detail/KMS679;615;768;image/jpeg
KMS8578;Q20537933;[[wikidata:Q380706]];Ida Ilsted, later the Artist's Wife;https://commons.wikimedia.org/wiki/Special:FilePath/Vilhelm Hammershøi - Ida Ilsted, later the Artist's Wife - KMS8578 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS8578;600;489;image/jpeg
KMSr105;Q20355001;[[wikidata:Q108301]];Houses on the River Bank;;https://collection.smk.dk/#/en/detail/KMSr105;;;
KMSsp432;Q20355774;[[wikidata:Q864403]];Portrait of a Man;https://commons.wikimedia.org/wiki/Special:FilePath/Johannes Mijtens - Portrait of a Man - KMSsp432 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMSsp432;768;576;image/jpeg
KMSr141;Q20422922;[[wikidata:Q1394353]];Les trois copains;;https://collection.smk.dk/#/en/detail/KMSr141;;;
KMS7937;Q20467034;[[wikidata:Q392816]];Meta-Ignis;;https://collection.smk.dk/#/en/detail/KMS7937;;;
KMS580;Q20276363;[[wikidata:Q2761358]];A Country Road near Vognserup Manor, Zealand. The Painter J.Th. Lundbye Sketching by the Roadside;https://commons.wikimedia.org/wiki/Special:FilePath/Landevej ved Herregaarden Vognserup 1849.jpg;https://collection.smk.dk/#/en/detail/KMS580;410;604;image/jpeg
KMS6475;Q20539125;[[wikidata:Q20829739]];A Wood near Asminderød;;https://collection.smk.dk/#/en/detail/KMS6475;;;
KMS825;Q20392809;[[wikidata:Q983353]];The Skerries off the West Coast of Sweden near Marstrand;https://commons.wikimedia.org/wiki/Special:FilePath/C.F. Sørensen - The Skerries off the West Coast of Sweden near Marstrand - KMS825 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS825;515;768;image/jpeg
KMS6793;Q20441122;[[wikidata:Q380706]];J.F. Willumsen;https://commons.wikimedia.org/wiki/Special:FilePath/Vilhelm Hammershøi - J.F. Willumsen - KMS6793 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS6793;1914;1200;image/jpeg
KMSsp666;Q20267192;[[wikidata:Q28843096]];Landscape;;https://collection.smk.dk/#/en/detail/KMSsp666;;;
KMS866;Q20539834;[[wikidata:Q1781575]];En sommerdag. Motiv fra Horneland ved Fåborg;https://commons.wikimedia.org/wiki/Special:FilePath/En sommerdag. Motiv fra Horneland ved Fåborg.jpg;https://collection.smk.dk/#/en/detail/KMS866;2060;2790;image/jpeg
KMS3891;Q20268073;[[wikidata:Q358399]];Nausikaa bringer den skibbrudne Odysseus klæder;https://commons.wikimedia.org/wiki/Special:FilePath/Wilhelm Marstrand - Nausikaa bringer den skibbrudne Odysseus klæder - KMS3891 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS3891;768;617;image/jpeg
KMSsp498;Q20440560;[[wikidata:Q15702751]];A Colonnade;https://commons.wikimedia.org/wiki/Special:FilePath/Daniël de Blieck - A Colonnade - KMSsp498 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMSsp498;768;626;image/jpeg
KMS123;Q20392048;[[wikidata:Q12306010]];Franske kyrasserer, som angriber en russisk forpost;https://commons.wikimedia.org/wiki/Special:FilePath/Christian Holm - Franske kyrasserer, som angriber en russisk forpost - KMS123 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS123;552;768;image/jpeg
KMS8599;Q20528353;[[wikidata:Q12321484]];Don't look now;;https://collection.smk.dk/#/en/detail/KMS8599;;;
KMSst173;Q20491636;[[wikidata:Q5163689]];A Little Boy with a Bird;;https://collection.smk.dk/#/en/detail/KMSst173;;;
KMS868;Q20276025;[[wikidata:Q2362227]];Jyske bønder på vej hjem fra marked med deres heste;https://commons.wikimedia.org/wiki/Special:FilePath/Jørgen V. Sonne - Jyske bønder på vej hjem fra marked med deres heste - KMS868 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS868;506;800;image/jpeg
KMS7460;Q20354839;[[wikidata:Q5753285]];An Allegory;https://commons.wikimedia.org/wiki/Special:FilePath/Hieronimo Miani - An Allegory - KMS7460 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS7460;617;768;image/jpeg
KMS1330;Q20491997;[[wikidata:Q4830305]];Stone Workers;;https://collection.smk.dk/#/en/detail/KMS1330;;;
KMS3788;Q20474656;[[wikidata:Q2518370]];Portrait of Frederik Hansen de Liliendal, Danish Consul at Bordeaux;https://commons.wikimedia.org/wiki/Special:FilePath/Jean-Baptiste Perronneau - Portrait of Frederik Hansen de Liliendal, Danish Consul at Bordeaux - KMS3788 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS3788;1200;977;image/jpeg
KMS1492;Q20355687;[[wikidata:Q708274]];Blokkedrejer ved Holmen Johan Vilhelm Gertner, kunstnerens fader;https://commons.wikimedia.org/wiki/Special:FilePath/J.V. Gertner - Blokkedrejer ved Holmen Johan Vilhelm Gertner, kunstnerens fader - KMS1492 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS1492;768;629;image/jpeg
KMS8576;Q20540356;[[wikidata:Q981441]];Portrait of the German Painter Wilhelm von Kaulbach;https://commons.wikimedia.org/wiki/Special:FilePath/Wilhelm Bendz - Portrait of the German Painter Wilhelm von Kaulbach - KMS8576 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS8576;7707;6188;image/jpeg
KMSsp107;Q20540628;[[wikidata:Q320118]];Pope Paul V;https://commons.wikimedia.org/wiki/Special:FilePath/Domenichino - Pope Paul V - KMSsp107 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMSsp107;768;572;image/jpeg
KMS7048;Q20271593;[[wikidata:Q23612390]];Pæoner og syrener i ostindisk krukke;;https://collection.smk.dk/#/en/detail/KMS7048;;;
KMS3880;Q20440438;[[wikidata:Q319854]];Jurisprudence. Allegorical Figure;https://commons.wikimedia.org/wiki/Special:FilePath/Nicolai Abildgaard - Jurisprudence. Allegorical Figure - KMS3880 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS3880;4575;3537;image/jpeg
KMS569;Q20440591;[[wikidata:Q28842960]];Head of Christ;;https://collection.smk.dk/#/en/detail/KMS569;;;
KMS8220;Q20268429;[[wikidata:Q1794177]];Boy with Shining Circle;;https://collection.smk.dk/#/en/detail/KMS8220;;;
KMS3091;Q20415389;[[wikidata:Q20853510]];Coutyard with Arcades;https://commons.wikimedia.org/wiki/Special:FilePath/Gabriel Engels - Coutyard with Arcades - KMS3091 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS3091;610;768;image/jpeg
KMS6661;Q20354860;[[wikidata:Q1358364]];Ceres, Bacchus and Cupid;https://commons.wikimedia.org/wiki/Special:FilePath/Giovanni Antonio Pellegrini - Ceres, Bacchus and Cupid - KMS6661 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS6661;768;645;image/jpeg
KMS7002;Q20380988;[[wikidata:Q663795]];Coast Landscape with the so-called Temple of Sibyl at Tivoli;https://commons.wikimedia.org/wiki/Special:FilePath/Willem van Nieulandt d.Y. - Coast Landscape with the so-called Temple of Sibyl at Tivoli - KMS7002 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS7002;564;800;image/jpeg
KMS8480;Q20267629;[[wikidata:Q12301686]];Red-Red with Lead;;https://collection.smk.dk/#/en/detail/KMS8480;;;
KMS4281;Q20539764;[[wikidata:Q2606054]];View from Langelinie towards the Royal naval Dockyards at Nyholm, Copenhagen. Morning Light;https://commons.wikimedia.org/wiki/Special:FilePath/Larsen Udsigt fra Langelinie mod Nyholm med Mastekranen Morgenbelysning 1850.jpg;https://collection.smk.dk/#/en/detail/KMS4281;510;800;image/jpeg
KMS3083;Q20355019;[[wikidata:Q874868]];A Smithy;https://commons.wikimedia.org/wiki/Special:FilePath/Godfried Schalcken - A Smithy - KMS3083 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS3083;768;608;image/jpeg
KMS6676;Q20440559;[[wikidata:Q6097841]];The Green Promontory;;https://collection.smk.dk/#/en/detail/KMS6676;;;
KMSst18Æ;Q20390781;None;Charles, Duke of Brunswick and Lüneburg, born 1 August 1713;;http://collection.smk.dk/#/en/detail/KMSst18Æ;;;
KMS3439;Q20440262;[[wikidata:Q3416034]];Homage to Benjamin Franklin;https://commons.wikimedia.org/wiki/Special:FilePath/C.A. Lorentzen - Homage to Benjamin Franklin - KMS3439 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS3439;723;800;image/jpeg
KMSsp198;Q20379600;[[wikidata:Q5599]];Johanna of Austria;https://commons.wikimedia.org/wiki/Special:FilePath/Peter Paul Rubens 219.jpg;https://collection.smk.dk/#/en/detail/KMSsp198;768;576;image/jpeg
KMS7468;Q20441114;[[wikidata:Q12308854]];I forgot to Remember to Forget;;https://collection.smk.dk/#/en/detail/KMS7468;;;
KMS901;Q20493570;[[wikidata:Q21034429]];Andromeda Chained to the Rock;https://commons.wikimedia.org/wiki/Special:FilePath/Wilhelm Kümpel - Andromeda Chained to the Rock - KMS901 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS901;768;597;image/jpeg
KMSst255;Q20539219;[[wikidata:Q24347852]];Flowers;https://commons.wikimedia.org/wiki/Special:FilePath/Dominicus Gottfried Waerdigh - Flowers - KMSst255 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMSst255;1422;1133;image/jpeg
KMS7915;Q20276011;[[wikidata:Q392816]];Yantra VIII;;https://collection.smk.dk/#/en/detail/KMS7915;;;
